"","filter","Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML","NEG_TJGIp4_1_Run59.mzML","NEG_TJGIp4_2_Run88.mzML","NEG_TJGIp4_3_Run183.mzML"
"449/228.0667mz/3.71min",403634.34,475194.84,436894.66,288952.56,284234.7,414197.8,393070.88
"450/192.0667mz/3.73min",726973.35,670251.9,572438.3,537911.1,822531.3,783694.8,793974
"451/200.1292mz/3.74min",3140847.35,3495608.8,2982703,2449429.2,3652745.8,3049657.2,3232037.5
"452/228.0878mz/3.74min",32253.8275,39819.36,38582.848,25523.715,5104.743,25924.807,41882.375
"453/130.0873mz/3.74min",133041.23,92081.375,180735.4,60799.613,108236.4,157846.06,185408.69
"454/257.1008mz/3.75min",69909.995,68479.34,73125.59,67554.95,3935.6494,71340.65,81807.46
"455/300.1452mz/3.75min",536463.97,660664.1,460423.5,446940.9,238564.39,688844.56,612504.44
"456/339.0179mz/3.74min",115871.433,99070.836,38088.293,90815.14,162157.73,132672.03,138757.2
"457/189.1133mz/3.75min",809972.95,845859.9,774086,682153.06,475500.3,876243.6,892819.3
"458/171.1027mz/3.75min",7095745.5,7444214,6747277,5694943,4110344.8,7464883,7579569.5
"459/459.2825mz/3.78min",2298962.1,1660996.6,816735.06,2066135.4,4077578.8,2531788.8,3861399.5
"460/305.1507mz/3.78min",333887.5,385597.03,334343.66,230138.02,364754.06,320199.97,333431.34
"461/159.1027mz/3.79min",132423.97,143360.23,152849.64,72790.49,114927.79,243438.75,121487.71
"462/207.0697mz/3.81min",96838.922,120945.15,64573.2,81317.125,85936.984,107740.86,134895.33
"463/412.1038mz/3.8min",648145.53,563569.8,388808.38,631442.5,832869.25,664848.56,707008.06
"464/395.0771mz/3.8min",74948.155,45644.12,39805.91,70833.08,85252.9,136033.25,79063.23
"465/287.1725mz/3.8min",2895343.4,2832481.2,2871348,2117066.8,3680514,3428876.8,2919338.8
"466/226.1086mz/3.81min",566082.19,611035.06,521322.62,451567.9,653738.94,554281.44,577882.94
"467/236.0962mz/3.81min",595675.07,631209.5,577858.2,346369.84,460641.88,613491.94,689878.94
"468/456.2253mz/3.83min",129738.087,101632.28,81463.125,110730.734,360403.25,355149.2,148745.44
"469/273.0406mz/3.82min",45157.0325,15168.295,3033.659,65166.793,66070.36,40184.62,50129.445
"470/300.1452mz/3.81min",408200.44,486398.16,309239.25,387434.72,236460.95,474956.25,428966.16
"471/201.1133mz/3.83min",414243.955,493488.94,413901.66,289748.06,297171.1,443590,414586.25
"472/261.0769mz/3.83min",850131.5,335013.8,338749.88,674415.56,1104577.4,1025847.44,1284720.8
"473/330.062mz/3.83min",248634.82,214545.17,132814.1,159777.8,282724.47,487129.62,453154.3
"474/185.082mz/3.84min",2315204.75,2434548,1941219.4,1662337.2,2195861.5,3453336,3229442.5
"475/141.0922mz/3.84min",382541.67,404515.22,310088.8,266442.44,360568.12,535051.4,509996.7
"476/227.129mz/3.84min",99310.08,110812.44,87807.72,71429.414,83952.56,138125.55,116074.57
"477/156.0667mz/3.84min",133441.685,153856.88,124895.945,129001.92,137881.45,114409.516,150964.88
"478/187.0976mz/3.83min",94954.9075,122632.44,55029.902,63517.137,87433.01,102476.805,539518.9
"479/234.1136mz/3.85min",901451.47,975217.3,857773,686721.1,1096806.5,867974.44,934928.5
"480/305.1507mz/3.84min",217666.745,219246.94,173093.2,216086.55,234636.19,303196.4,188029.02
"481/225.1134mz/3.89min",99565.635,98775.14,75809.33,139584.98,63194.85,100356.13,109598.64
"482/554.2374mz/3.88min",302149.38,315142.16,337900.34,197685.66,270758.6,289156.6,393890.1
"483/202.0511mz/3.91min",328550.6,337996.66,305225.2,265294.56,354426.8,322679.1,334422.1
"485/179.0714mz/3.92min",1181150.3,1285838.1,897921.75,883982.2,1076462.5,1645046.6,1302950.1
"486/596.2846mz/3.92min",2110393.35,2246540.2,2519948.2,1443915.8,1588508.2,1974246.5,2465263
"487/213.0154mz/3.93min",597970.52,536141.56,663260.6,644371.2,579116.1,616824.94,551880.4
"488/186.1136mz/3.93min",196764.305,190415.22,124052.734,203113.39,163803.53,219452.14,255820.75
"489/272.0929mz/3.93min",303650.955,260213.81,204460.05,240887.62,364222.72,347088.1,371111.47
"490/141.0921mz/3.95min",405260.81,426432.84,384088.78,258584.31,381698.34,652007.8,560974.2
