"","filter","POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML","POS_TJGIp7_1_Run16.mzML","POS_TJGIp7_2_Run140.mzML","POS_TJGIp7_3_Run155.mzML"
"4476/822.5612mz/7.68min",171383.375,12704.3664,1307749.8,63521.832,223238.2,119528.55,983996.56
"4480/698.436mz/7.68min",1125343.9,1208439,1343102.4,420518.88,3149168.8,871589.8,1042248.8
"4490/770.5666mz/7.67min",3382.933,654.46904,4193.465,3493.5208,654.46904,6053831.5,3272.3452
"4492/834.5843mz/7.68min",289527.68,224242.02,264553.8,314501.56,420771.94,1698837.8,246948.97
"4493/714.4699mz/7.67min",307301.555,14982.725,2815636.5,375042.3,74913.625,239560.81,2454240.5
"4498/786.5994mz/7.68min",11772774,120400.516,17596710,13383626,24080.1032,10737443,12808105
"4500/410.3134mz/7.68min",1276903.35,1491783.6,983992.56,697151.3,1513284.5,1514970.9,1062023.1
"4507/650.4387mz/7.63min",473974.16,16955122,360864.56,438323.12,982577.1,509625.2,134779.22
"4510/409.3097mz/7.68min",4140112.5,5190425,3234904.5,2340539.8,4726925.5,5188520.5,3553299.5
"4514/674.4371mz/7.7min",594821.425,3860.3115,2353964.5,668569.6,6408.448,521073.25,1525742.4
"4515/575.5029mz/7.68min",1221673.9,241428.56,1207142.8,4262511,241428.56,1236205,1799210.6
"4516/796.5471mz/7.68min",939951.75,29767.111,1106539.5,504783.8,4900052.5,820090.4,1059813.1
"4518/800.5788mz/7.68min",4888559.25,91985.92,7044405.5,4806344,459929.6,4970774.5,9779853
"4521/425.3044mz/7.68min",1689297.8,2125597.8,1597034.1,937641.75,2286482.8,1402035.6,1781561.5
"4523/757.5568mz/7.69min",1649061.04,63011.976,2983062.2,7390563,63011.976,315059.88,3627197.5
"4526/760.5818mz/7.65min",3007811.051,19306.602,5996315.5,2047.0548,10235.274,23244900,8837164
"4527/782.5689mz/7.69min",13723260.25,5279.4344,144476270,19680614,26397.172,7765906.5,140530820
"4531/602.5976mz/7.66min",70238.34,351191.7,70238.34,70238.34,1374470.2,70238.34,70238.34
"4536/184.0732mz/7.68min",3465372.5,374217.2,3789817.2,5495075,554852.56,3140927.8,5122149
"4539/816.5726mz/7.69min",600361.22,9965.059,2121193.2,314761.34,885961.1,151904.45,1139475.6
"4540/756.5534mz/7.68min",4739524.15,670.1207,8177085.5,15685540,3350.6035,1683752.8,7795295.5
"4542/744.5536mz/7.69min",161781.868,17274.1032,237193.22,4374509.5,17274.1032,86370.516,587137.94
"4543/774.5634mz/7.68min",3473871.6,37606.878,2385158.2,4709008.5,188034.39,4562585,5421379.5
"4547/442.425mz/7.71min",2761167.8,408567.72,3693816,3479497,408567.72,5500870,2042838.6
"4548/804.5498mz/7.69min",632378.125,29269.41,8366196,1118409.2,29269.41,146347.05,6185241
