"","FC","log2(FC)","raw.pval","-log10(p)"
"7775/288.2893mz/5.0min",3.1117,1.6377,0.027347,1.5631
"7636/370.7203mz/4.76min",0.27055,-1.886,0.027643,1.5584
"8043/251.2003mz/5.49min",2.4318,1.282,0.027742,1.5569
"7948/277.2159mz/5.28min",2.3115,1.2088,0.027764,1.5565
"8434/620.4362mz/6.47min",19.663,4.2974,0.027966,1.5534
"8062/280.2348mz/5.53min",2.2212,1.1514,0.028004,1.5528
"8077/293.2107mz/5.55min",2.1658,1.1149,0.028171,1.5502
"8431/576.4101mz/6.47min",20.184,4.3351,0.028525,1.5448
"8427/532.384mz/6.47min",20.805,4.3788,0.028678,1.5425
"7612/211.0866mz/4.73min",2.0519,1.0369,0.028717,1.5419
"8047/279.1952mz/5.49min",2.265,1.1795,0.02874,1.5415
"8420/488.3577mz/6.46min",21.587,4.4321,0.028757,1.5413
"8084/295.2264mz/5.56min",2.2802,1.1892,0.029189,1.5348
"9010/939.375mz/8.06min",17.69,4.1448,0.029235,1.5341
"8250/389.2657mz/5.97min",2.0014,1.001,0.02976,1.5264
"7742/403.2011mz/4.91min",2.0718,1.0509,0.030416,1.5169
"9028/310.3099mz/8.1min",3.1076,1.6358,0.030455,1.5163
"7379/584.3441mz/4.42min",3.2095,1.6824,0.030697,1.5129
"8049/280.1984mz/5.49min",2.2447,1.1666,0.030733,1.5124
"8094/279.2315mz/5.59min",2.0697,1.0494,0.031884,1.4964
"7877/311.2212mz/5.13min",2.7587,1.464,0.031922,1.4959
"7883/626.3905mz/5.15min",5.5943,2.484,0.032494,1.4882
"8061/297.2419mz/5.52min",2.2017,1.1386,0.032804,1.4841
"7135/552.3029mz/4.07min",6.7346,2.7516,0.032889,1.483
"8148/357.2783mz/5.75min",2.1944,1.1338,0.033511,1.4748
"7225/353.7283mz/4.2min",0.49189,-1.0236,0.033826,1.4708
"7115/384.2127mz/4.03min",0.42257,-1.2427,0.033852,1.4704
"7666/280.2632mz/4.85min",6.1734,2.6261,0.033951,1.4692
"7208/239.1025mz/4.18min",4.6404,2.2142,0.034194,1.4661
"7943/313.2369mz/5.28min",2.1972,1.1356,0.034248,1.4654
"8974/413.3773mz/7.92min",2.6323,1.3963,0.035097,1.4547
"8408/444.3314mz/6.45min",21.068,4.397,0.035212,1.4533
"8541/517.3706mz/6.74min",2.0823,1.0582,0.035874,1.4452
"9692/144.982mz/10.14min",4.4813,2.1639,0.036711,1.4352
"9219/427.3568mz/8.4min",2.5651,1.359,0.039248,1.4062
"8324/384.3466mz/6.23min",0.16041,-2.6401,0.039303,1.4056
"8096/315.2526mz/5.59min",2.0559,1.0397,0.03938,1.4047
"8396/405.2607mz/6.44min",14.889,3.8962,0.039384,1.4047
"8706/564.2599mz/7.34min",2.1885,1.1299,0.039874,1.3993
"8004/297.242mz/5.4min",2.0031,1.0022,0.041251,1.3846
"7927/316.2842mz/5.24min",0.34611,-1.5307,0.041912,1.3777
"8198/405.2606mz/5.85min",2.6891,1.4271,0.042093,1.3758
"8003/279.2315mz/5.4min",2.1218,1.0853,0.042462,1.372
"8092/297.2421mz/5.59min",2.0235,1.0169,0.042497,1.3716
"7773/626.3905mz/4.96min",5.3333,2.415,0.042686,1.3697
"7430/531.2796mz/4.49min",2.9252,1.5485,0.042716,1.3694
"8428/149.0232mz/6.48min",2.992,1.5811,0.042784,1.3687
"7566/253.1181mz/4.67min",3.1392,1.6504,0.043451,1.362
"9184/415.2718mz/8.3min",2.4533,1.2947,0.04417,1.3549
"8067/279.2314mz/5.52min",2.0543,1.0387,0.045261,1.3443
"7972/292.1903mz/5.34min",2.0005,1.0004,0.04698,1.3281
"8484/301.1406mz/6.56min",2.5016,1.3228,0.047547,1.3229
"8953/411.3253mz/7.83min",2.579,1.3668,0.04859,1.3135
"7418/230.1386mz/4.48min",3.0754,1.6208,0.048863,1.311
"9694/409.4399mz/10.17min",0.41758,-1.2599,0.049777,1.303
