Filename,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML,POS_D5-227-C3-a_Run274.mzML,POS_D5-227-C3-b_Run277.mzML,POS_D5-227-C3-c_Run280.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
705/90.5259mz/10.5min,41356480.0,40922364.0,37602390.0,45133364.0,28498852.0,29383678.0
706/111.0391mz/10.5min,10615713.0,12155978.0,11574239.0,9974986.0,10096601.0,10210792.0
707/139.018mz/10.5min,10097925.0,10482867.0,10117550.0,10679761.0,10292277.0,10993949.0
708/97.9914mz/10.51min,9013835.0,9588389.0,9387882.0,8893190.0,5205140.0,7995336.0
711/201.9757mz/10.53min,894870.0,910274.3,944537.5,987605.6,979463.1,979726.25
712/225.0295mz/10.54min,2080563.0,2297900.0,2227100.2,2388731.0,2360301.0,2413138.0
713/184.003mz/10.55min,6884058.5,6825015.0,6564892.0,6807015.0,7336850.5,7405777.5
718/169.9774mz/10.81min,1595577.0,4723972.0,1162215.4,6529577.5,6443678.5,6239907.5
719/199.9883mz/10.84min,629073.4,454933.7,869961.0,1370863.9,4211248.0,4204643.0
720/173.0302mz/10.82min,861156.75,257252.98,524427.7,1123348.2,2723563.0,2639179.2
721/147.031mz/10.85min,5561993.0,5764449.0,5763578.5,6175447.0,6201241.0,6319784.0
722/145.0353mz/10.94min,9211714.0,9413920.0,9322635.0,9731368.0,10205545.0,10083215.0
723/171.993mz/10.96min,5334411.0,5685771.0,5775479.0,7903379.5,7997820.0,7887862.5
724/199.9883mz/10.94min,650848.8,725073.25,736474.3,4250710.0,589599.56,719940.4
