"","filter","2024_POS_Y-EV_1_CTRL_Run88.mzML","2024_POS_Y-EV_2_CTRL_Run117.mzML","2024_POS_Y-EV_3_CTRL_Run138.mzML","2024_POS_Y-6MSAS_1_Run91.mzML","2024_POS_Y-6MSAS_2_Run108.mzML","2024_POS_Y-6MSAS_3_Run135.mzML"
"571/246.1699mz/3.93min",605107.5,519800.25,571127.2,1987819.8,598609.75,902332.4,611605.25
"572/514.2855mz/3.97min",711942.03,737028.3,705689.5,773925.8,718194.56,551726.56,560469.1
"573/208.0968mz/4.01min",24194.2135,20984.156,12054.776,39156.016,30593.951,27404.271,11960.316
"574/166.0862mz/4.08min",102290.117,115847.35,112845.75,128414.375,91734.484,80839.41,84550.67
"576/208.0968mz/4.19min",350097.405,300740.84,378831.47,1099749.8,321363.34,299374.66,499347.4
"577/274.1649mz/4.21min",56297.905,54366.617,53743.312,71238.83,57202.062,56833.4,55762.41
"578/321.1738mz/4.32min",969332.6,992001.3,1086072.6,946663.9,1188894.9,752649.1,609815.06
"579/320.1703mz/4.32min",6394416.75,6569192.5,7346856.5,6219641,7746718,5033366.5,4081094
"580/325.1257mz/4.32min",796149.7,791564.8,947592.75,800734.6,941984.56,583432.44,503318.22
"581/195.1379mz/4.34min",810148.35,812781,875569.5,807515.7,782296.7,792289,852723.7
"582/364.1965mz/4.4min",577333.1,557508.9,597157.3,622036.4,655514.5,448186.44,468425.44
"583/226.1801mz/4.43min",1217311,1147407.1,1148428.6,1297287.9,1180101.9,1254520.1,1294689.4
"584/244.1906mz/4.43min",841775.65,809037.44,790912.44,881573.9,828726,854825.3,867505.9
"585/408.2226mz/4.47min",650206.47,633332.44,667080.5,704495.3,719220.7,508537.53,516782.97
"586/392.1914mz/4.56min",2852262.15,2846319.8,3179010.2,2858204.5,3341089.8,2150102.2,2246018.5
"587/397.1467mz/4.56min",396690.545,378749.62,429657.97,414631.47,477010.88,267929.22,332312.88
"588/249.1022mz/4.6min",535873.465,517250.03,562867,646210.5,554496.9,405732.1,443767.3
"589/267.1128mz/4.6min",1580342.9,1547464.6,1677724.2,1818042.5,1613221.2,1259570.4,1245010.8
"592/230.9844mz/4.75min",675373.08,646758.6,703483.4,682182.56,702944.9,668563.6,635513.75
"594/211.9705mz/4.75min",3309407.4,3249104.8,3501345.2,3369710,3554815,3194117.5,3195203.5
"595/213.9685mz/4.75min",3212496.3,3132329.8,3432208.5,3270570.8,3395185.2,3154421.8,3043299.2
"596/229.9811mz/4.75min",7915528,7804118.5,8275373,7922021.5,8622640,7909034.5,7567063.5
"597/231.979mz/4.75min",7842968,7680762,8238684,7872870,8469900,7813066,7556184.5
"598/232.9823mz/4.75min",648601.1,646710.8,675164.56,637987.9,702143.44,650491.4,632565.44
"599/656.071mz/4.75min",1615581.6,1528407.6,1645017.6,1877409.1,1493334.6,1586145.6,2041391.4
"600/524.2697mz/4.76min",386520.59,386681.56,386359.62,403849.9,413790.72,306646.97,303118.16
