row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp4_2_Run109.mzML Peak area,NEG_TJGIp4_3_Run189.mzML Peak area,NEG_TJGIp4_1_Run44.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,
146,271.1663511973184,3.3572457,,,,,,,,,,,581080.7,389125.06,523556.8,554522.5,447603.97,408636.47,
166,271.16643890557117,3.5958004,,,,,,,,,,,531444.9,549263.2,444212.22,972125.9,1134186.9,1039833.4,
533,271.19150283701947,5.4518456,,,,,,,,,,,412533.0,422700.66,374637.34,481287.6,536692.56,424776.25,
716,271.2277479951434,5.975078,,,,30,,,,,,,869794.3,881794.06,918816.56,664756.5,718248.44,547587.8,
1089,271.22783258453387,7.0706177,,,,,,,,,,,1.1266907E7,1.1633774E7,9820879.0,8724125.0,9903223.0,8875634.0,
1014,271.22783859442984,6.863314,,,,9,,,,,,,3814410.5,3799244.8,3553139.8,2827939.0,3024431.2,2974864.0,
375,272.186749820341,4.91326,,,,78,,,,,,,829306.6,844011.9,817791.2,818801.3,944072.1,1104299.2,
310,278.1396551229402,4.675903,,,,2,,,,,,,609663.2,617174.7,519704.5,720725.56,853494.25,601322.0,
905,279.1634384138234,6.4724197,,,,,,,,,,,9478.686,0,41314.23,82107.695,0,871053.44,
644,280.0977882153398,5.8275075,,,,,,,,,,,790231.44,783672.6,925359.44,1000299.5,908949.25,1021395.06,
701,280.0978211554941,5.9371543,,,,83,,,,,,,249877.11,282160.25,232715.84,267528.4,300592.22,182666.92,
173,285.1819623428558,3.687535,,,,92,,,,,,,3669993.2,3658504.5,3530738.5,3473514.2,4016421.5,3884577.8,
212,285.1821336570154,4.0038724,,,,,,,,,,,37664.586,34049.07,24535.8,26587.322,45637.324,46399.98,
608,285.2070965522865,5.747474,,,,,,,,,,,132745.14,118954.87,157157.34,100406.63,131296.75,97822.875,
570,285.20716102940463,5.595659,,,,,,,,,,,125892.63,135112.81,128865.26,126927.76,144138.95,127028.84,
1206,285.24340600271745,7.3584557,,,,,,,,,,,474358.84,464819.38,466098.53,493768.28,533803.25,424914.56,
1094,285.24342950708075,7.103384,,,,,,,,,,,1160312.9,1170677.8,1021124.0,880966.7,988631.6,925833.75,
1160,285.24344765675625,7.2720895,,,,,,,,,,,698599.56,713843.9,561326.1,502807.3,565745.4,496138.38,
483,286.2023983686771,5.295296,,,,,,,,,,,495075.8,240882.14,453560.6,528496.6,610221.94,739093.44,
527,293.1758196014104,5.428091,,,,24,,,,,,,778233.0,714459.25,737741.4,646890.2,688009.5,675463.7,
473,293.1758789085816,5.272253,,,,140,,,,,,,574359.7,664040.8,442484.97,677687.8,774243.3,802417.25,
431,293.17591469673033,5.1241918,,,,120,,,,,,,2475680.8,2616713.0,2440566.0,2638617.5,2535913.5,2251248.0,
1010,293.1791922296401,6.857606,,,,,,,,,,,1269571.1,0,2449395.5,2085110.4,38448.67,852366.44,
1075,293.17919877645096,6.982104,,,,,,,,,,,5605.172,0,0,0,0,3472908.2,
958,293.17922580837165,6.710942,,,,,,,,,,,1119990.8,2411728.8,0,0,2037219.4,0,
955,293.21218251128664,6.6718616,,,,58,,,,,,,74630.68,75693.96,78028.02,97099.9,93961.086,88000.38,
650,293.2122098586422,5.848905,,,,40,,,,,,,513789.72,480756.1,461651.88,523454.03,532471.44,662823.75,
846,293.21221041787834,6.3626027,,,,,,,,,,,883360.6,799711.2,786757.25,1053190.2,1090592.8,1044088.25,
801,293.2122369516098,6.232716,,,,11,,,,,,,644579.9,563417.75,825369.0,710676.3,793617.25,1113159.9,
909,293.2122634076847,6.549242,,,,111,,,,,,,54967.035,59934.477,41969.945,92502.42,99650.13,68962.664,
1009,295.22764850504456,6.855392,,,,119,,,,,,,86146.64,98189.375,70520.21,91212.33,97711.586,91572.14,
2054,295.22765766592437,11.012241,,,,,,,,,,,15794.519,8790.795,130821.74,5606.8745,33784.605,37375.492,
2060,295.2276870742984,11.112174,,,,,,,,,,,7556.2983,7954.886,25400.48,4390.2886,204314.75,54178.285,
2049,295.22773676920156,10.956932,,,,,,,,,,,5765.436,5885.9385,25495.094,25464.158,6030.812,200732.19,
952,295.22774411592655,6.666474,,,,58,,,,,,,969958.3,950063.75,967476.94,880412.06,905259.5,1053188.1,
752,295.2277489702669,6.1097503,,,,34,,,,,,,1973992.0,8189242.5,9379024.0,2171095.2,2687865.8,2353396.5,
783,295.22775447834834,6.171284,,,,41,,,,,,,1.3795197E7,1.3561847E7,1.3087285E7,1.3324205E7,1.4276428E7,1.351349E7,
1079,297.2433211544424,7.0341296,,,,134,,,,,,,209830.92,212150.34,201189.92,152617.12,162006.61,164700.47,
853,297.2433213221359,6.4006324,,,,98,,,,,,,1608045.8,1569108.0,1592757.4,1458827.9,1515172.8,848991.75,
1025,297.24333305155903,6.8910346,,,,,,,,,,,597105.7,549543.56,549760.0,439977.4,403683.97,424738.8,
1244,297.2433661771305,7.437008,,,,36,,,,,,,2148839.8,1888152.2,1882746.0,3727457.5,3993466.2,3595276.2,
1146,297.2433701212834,7.2324505,,,,,,,,,,,155724.48,161491.88,115426.375,113097.63,116156.21,96280.93,
2058,299.2589453557491,11.072499,,,,,,,,,,,0,0,9593.1875,0,67920.4,4256.3887,
1262,299.258981115473,7.4441724,,,,36,,,,,,,4072831.0,3470255.2,3335428.2,3070003.0,3254199.5,4602514.5,
1345,299.25904586400304,7.639198,,,,,,,,,,,1.3031266E7,1.315622E7,1.6679775E7,2.8847022E7,3.1769386E7,1.9092196E7,
921,299.2590795898745,6.5743637,,,,118,,,,,,,510844.97,499252.72,444831.88,399648.84,399219.53,390752.6,
352,300.08754785181696,4.822905,,,,,,,,,,,356870.7,313063.2,428752.12,315008.0,355020.25,389234.9,
378,300.087657481073,4.923462,,,,29,,,,,,,200670.83,252452.47,232154.5,224915.86,254991.08,306076.47,
240,300.0877103183417,4.1504536,,,,133,,,,,,,226914.8,224797.84,195609.36,159821.38,179804.25,203717.66,
182,300.1451917632785,3.7527244,,,,71,,,,,,,144933.11,157896.28,100113.36,317503.25,373543.38,481667.6,
195,300.1452216909008,3.7896025,,,,86,,,,,,,144933.11,155276.25,98014.5,143786.39,178913.4,235862.69,
1259,300.2623310517975,7.4441733,,,,36,,,,,,,771687.4,656093.2,616456.94,559566.2,599182.94,856631.3,
242,301.1656309783321,4.1522617,,,,133,,,,,,,417589.25,410590.2,335247.2,944291.94,1095925.5,855571.9,
222,301.16574775993297,4.0913825,,,,,,,,,,,52734.137,50611.6,276645.78,125013.836,137873.92,121831.05,
995,301.2382815979351,6.8101025,,,,132,,,,,,,157223.34,167727.62,131516.25,128097.125,139273.23,121625.03,
961,301.2382925381819,6.691172,,,,106,,,,,,,890442.6,958813.6,726558.94,699683.9,778527.3,642559.94,
2035,304.91386531548125,10.572589,,,,14,,,,,,,1874562.1,2118856.8,834518.7,2037703.2,2312090.8,838563.94,
1281,307.194735170379,7.388651,,,,,,,,,,,6108.3887,0,37218.953,208947.27,0,658807.4,
1150,307.2277712224022,7.265426,,,,,,,,,,,162656.5,251976.86,99231.414,245022.3,299000.6,97007.4,
981,307.2277908526926,6.762817,,,,,,,,,,,188932.25,196001.84,177716.02,293525.78,263638.78,267581.56,
393,309.1707648166317,4.995918,,,,37,,,,,,,664805.75,770671.56,617258.25,726644.7,844711.56,695219.4,
474,309.17080770032413,5.274065,,,,140,,,,,,,487651.06,519211.78,496374.4,766605.94,879477.8,777800.4,
248,309.1708599244734,4.2296515,,,,,,,,,,,93817.73,99085.68,82997.74,79019.33,96977.875,96844.67,
