Filename,2024_NEG_Y-EV_1_CTRL_Run89.mzML,2024_NEG_Y-EV_2_CTRL_Run118.mzML,2024_NEG_Y-EV_3_CTRL_Run139.mzML,2024_NEG_Y-p10_1_Run104.mzML,2024_NEG_Y-p10_2_Run130.mzML,2024_NEG_Y-p10_3_Run145.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
266/555.3053mz/5.79min,548359.25,456981.25,299621.47,250641.89,262121.9,247925.0
267/569.2734mz/5.81min,640074.7,423179.66,282660.5,282969.6,614154.75,290257.12
268/494.2524mz/5.83min,237967.02,255135.53,179662.44,262768.1,439472.06,229998.88
269/562.0039mz/5.83min,68394.65,57438.547,51688.758,48672.13,39924.547,59099.52
270/450.2625mz/5.85min,1762260.1,1478695.0,1120471.4,1295999.4,3265785.8,1422654.1
271/265.1479mz/5.87min,0.0,198893.11,322987.28,338303.3,753190.06,379377.66
272/538.3152mz/5.89min,2262575.5,1940860.0,1254277.1,1209782.5,1859955.1,1280456.5
273/214.8799mz/5.84min,12858.122,0.0,848842.7,10257.707,0.0,0.0
274/241.8989mz/5.87min,207070.92,26724.01,991451.3,164720.34,42991.457,48565.074
275/555.3053mz/5.88min,429407.53,356028.28,177070.75,228057.84,334105.2,237034.03
276/569.2733mz/5.86min,408909.06,390778.53,4567.683,216111.16,89072.58,287527.34
278/265.1479mz/5.91min,327532.84,198893.11,0.0,343322.78,633752.8,369262.88
279/132.8679mz/5.92min,178595.38,105897.945,638650.56,170422.39,165619.94,174595.78
280/720.1238mz/6.08min,127696.22,159711.03,166335.4,114473.74,120936.234,110728.32
281/452.2781mz/6.12min,90030.08,73919.84,49219.535,49588.594,90580.49,45969.742
282/571.2889mz/6.15min,12149.491,114593.5,78958.53,63162.824,63581.445,43298.926
284/656.1114mz/6.14min,537645.1,337164.56,606303.2,480550.9,364941.25,464415.66
285/540.3309mz/6.18min,302719.3,239334.4,136489.69,128894.195,105700.66,72473.14
286/557.3209mz/6.18min,43890.645,44186.14,11460.731,11280.348,11356.861,0.0
287/784.1362mz/6.22min,130373.875,115571.49,131785.25,86760.45,78268.1,75630.86
288/452.2782mz/6.24min,1604940.4,1446845.4,1132612.8,1257319.5,1843832.8,1073985.0
289/271.2279mz/6.26min,145200.8,139739.34,264470.62,225891.02,313910.0,135866.25
290/496.2681mz/6.26min,1316831.6,1195454.2,756255.0,744543.2,1657088.4,616869.8
291/311.1687mz/6.32min,175582.45,860628.3,1187996.6,980092.6,983211.5,916318.3
292/720.1238mz/6.28min,572064.0,574251.0,566434.44,426963.5,406906.62,431553.56
293/571.2891mz/6.29min,97504.51,3461764.5,2388800.5,2414046.0,2748404.5,2146413.2
294/540.3309mz/6.3min,2327327.8,1925540.4,1438008.6,1593512.2,2063819.6,1158572.1
295/265.1809mz/6.3min,779828.25,804351.8,995149.8,430081.16,110383.79,511009.53
296/478.2939mz/6.3min,2730147.0,2066201.2,1756986.8,1418149.9,1260868.8,1309707.8
297/557.321mz/6.3min,399340.1,328969.88,245813.8,259360.72,318341.38,200024.84
299/522.2838mz/6.32min,919418.4,763793.9,490750.5,457128.1,578390.44,351720.47
302/583.3367mz/6.36min,830090.44,659075.25,397502.34,381223.75,456328.34,306902.8
303/566.3466mz/6.36min,4988551.0,4053222.0,2509659.0,2301715.5,2820671.2,1698674.9
304/696.1426mz/6.4min,262528.25,177264.5,193064.08,150679.0,105286.43,111674.82
305/597.3048mz/6.37min,39150.008,1433355.4,880595.7,609789.75,381343.8,571879.44
306/784.1362mz/6.4min,518171.47,496557.3,464782.28,374307.88,362037.9,384627.16
307/478.2939mz/6.4min,1022420.94,850315.56,539887.3,615258.0,852697.06,603968.1
308/311.1687mz/6.42min,1013555.2,830203.5,668478.56,766818.1,729162.0,773744.56
309/571.2889mz/6.4min,4426674.5,61535.348,27328.402,19655.053,14833.394,0.0
310/720.1238mz/6.46min,324234.38,324907.66,291711.28,227311.86,220918.89,254563.44
311/566.3465mz/6.47min,1657019.2,1425127.4,734856.4,880444.4,1347803.2,693619.9
312/583.3367mz/6.47min,298116.0,241249.17,121198.9,140118.94,216738.89,113721.27
313/522.2839mz/6.47min,114812.22,90225.13,46831.914,57813.06,137025.67,32034.506
314/590.1196mz/6.5min,753082.44,762551.94,693075.3,559831.8,540497.94,585360.9
315/573.1293mz/6.5min,337159.75,442889.1,732384.9,425298.47,525739.8,361442.8
