row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_Y-p11_1_Run98.mzML Peak area,2024_NEG_Y-p11_3_Run151.mzML Peak area,2024_NEG_Y-EV_1_CTRL_Run89.mzML Peak area,2024_NEG_Y-p11_2_Run127.mzML Peak area,2024_NEG_Y-EV_2_CTRL_Run118.mzML Peak area,2024_NEG_Y-EV_3_CTRL_Run139.mzML Peak area,
482,544.4161115467523,9.135613,,,,,,,,,,,565845.75,787629.0,1027976.94,914015.25,1218720.8,909649.75,
312,548.0645390357851,6.6406236,,,,,,,,,,,32227.125,229480.72,172924.17,174373.5,536029.06,0,
93,555.1179606075265,0.6337474,,,,32,,,,,,,620975.1,1000749.1,1092647.2,889781.25,774186.3,216320.92,
110,555.117968046306,0.698724,,,,,,,,,,,60658.152,275800.4,414757.28,125123.17,224842.9,963666.75,
22,555.1179908443404,0.3709869,,,,51,,,,,,,949349.7,1174506.4,1384845.5,1203295.0,1325351.0,270983.03,
262,555.3053070255016,5.878422,,,,,,,,,,,158942.11,186212.38,429407.53,198981.84,356028.28,177070.75,
254,555.3053189913206,5.791702,,,,,,,,,,,189612.16,208344.48,548359.25,218127.66,456981.25,299621.47,
425,557.1083951856253,7.8787365,,,,12,,,,,,,379928.4,479482.78,370389.78,557802.6,611533.9,282995.03,
274,557.3208280419959,6.184379,,,,,,,,,,,0,0,43890.645,5176.4644,44186.14,11460.731,
283,557.3209671619722,6.3037705,,,,,,,,,,,146061.48,193708.97,399340.1,195754.56,328969.88,245813.8,
199,560.999068374499,3.517866,,,,14,,,,,,,3844695.8,3888319.0,3583817.2,3628830.8,3651039.8,3427484.0,
257,562.0038813823352,5.8274665,,,,,,,,,,,48015.156,59522.07,68394.65,59433.445,57438.547,51688.758,
299,566.3465174988586,6.4676604,,,,50,,,,,,,509620.72,655152.2,1657019.2,601313.25,1425127.4,734856.4,
292,566.3465543124356,6.363775,,,,38,,,,,,,1595159.0,1830630.1,4988551.0,1714981.8,4053222.0,2509659.0,
338,568.3621543078715,6.9170814,,,,13,,,,,,,346626.94,428856.22,1035367.9,477211.44,830028.5,576461.9,
326,568.3622164429065,6.794481,,,,,,,,,,,14897.283,20836.365,74914.25,13585.25,53738.906,23529.664,
264,569.273331966657,5.8675,,,,,,,,,,,0,204363.62,408909.06,205952.48,390778.53,4567.683,
256,569.2733861546443,5.766905,,,,,,,,,,,187035.7,248231.58,640074.7,286299.22,423179.66,282660.5,
252,569.2734051046617,5.698035,,,,,,,,,,,295304.72,300629.7,433287.34,351190.38,599113.3,436429.12,
269,571.2889381099002,6.1540413,,,,,,,,,,,46216.062,74324.234,12149.491,70693.695,114593.5,78958.53,
277,571.2890200272518,6.245835,,,,,,,,,,,1555573.2,67981.17,97504.51,67165.695,3461764.5,2388800.5,
294,571.2890450848113,6.3627825,,,,,,,,,,,0,1927206.6,4426674.5,1813598.9,3445055.2,27328.402,
323,573.1293455025641,6.672813,,,,22,,,,,,,386373.62,273171.44,463431.7,249507.1,369878.94,580677.2,
301,573.1293533355816,6.498813,,,,45,,,,,,,483287.53,335041.75,337159.75,313109.4,442889.1,732384.9,
197,582.9809931504917,3.5149984,,,,14,,,,,,,689077.5,666704.0,692068.7,732955.56,695000.56,639792.8,
291,583.3366850552753,6.363775,,,,38,,,,,,,255739.73,330756.84,830090.44,307833.53,659075.25,397502.34,
300,583.3366902962163,6.4663596,,,,50,,,,,,,73694.59,111897.97,298116.0,97789.35,241249.17,121198.9,
324,590.1195555544568,6.7438283,,,,,,,,,,,200520.28,292091.62,383900.94,316920.28,367029.03,281122.06,
318,590.1195699011763,6.6802373,,,,22,,,,,,,198758.25,282516.72,331207.16,254574.95,334874.88,255441.6,
303,590.1195914696793,6.500996,,,,45,,,,,,,494089.12,570700.3,753082.44,595295.25,762551.94,693075.3,
322,597.3047885128329,6.7193246,,,,,,,,,,,0,0,386943.9,0,0,0,
290,597.3047894710458,6.3784547,,,,,,,,,,,602071.0,624563.2,39150.008,601376.6,1433355.4,880595.7,
309,597.3048050610752,6.5841846,,,,,,,,,,,0,169446.7,1137818.9,164161.77,340385.38,0,
302,597.304811644539,6.5003586,,,,,,,,,,,131484.52,735660.4,1637929.2,759088.5,337744.28,198071.75,
389,599.3204780231497,7.317112,,,,,,,,,,,0,1041946.0,19149.56,1188589.8,2077303.2,8923.246,
406,599.3204853705582,7.593193,,,,,,,,,,,0,0,2331344.0,0,0,0,
369,599.320550021796,7.124506,,,,,,,,,,,874947.25,0,0,0,5130.066,1156092.4,
213,603.0099693807924,4.149056,,,,,,,,,,,327236.22,319067.94,318339.25,335761.2,303079.34,306254.62,
427,603.1140711799399,7.878922,,,,12,,,,,,,308981.62,379208.6,315187.5,451048.9,522505.2,216238.0,
210,605.0258357222283,4.0507574,,,,,,,,,,,809389.3,801444.0,645362.56,844099.5,690931.8,664150.06,
105,611.1449051368511,0.71573144,,,,,,,,,,,839384.6,1209523.8,1424585.5,1190819.1,1493171.5,210296.83,
26,619.0378214440815,0.40948138,,,,,,,,,,,1137825.5,458170.72,313529.7,538417.9,352712.34,1431189.2,
68,619.0378662250966,0.5214285,,,,1,,,,,,,8657522.0,5375042.5,4095811.8,5724168.0,4421830.0,8666956.0,
424,620.1040861656264,7.880216,,,,,,,,,,,92003.54,235297.42,278629.4,284229.2,213125.02,66658.55,
233,637.0305139385448,4.744072,,,,3,,,,,,,5829254.5,5585490.5,5148720.0,5540102.5,5728408.5,6099299.0,
350,637.1418675415106,7.0228653,,,,42,,,,,,,626957.06,317299.8,220112.39,304158.2,418421.94,837551.7,
333,637.1419059580327,6.8361316,,,,54,,,,,,,1841080.8,964212.4,816552.75,950718.56,1275770.4,2528052.0,
310,637.1419196526757,6.618183,,,,,,,,,,,608282.94,382274.94,373913.62,383969.53,515442.1,932459.44,
243,653.0253894382829,4.991077,,,,,,,,,,,78441.03,85299.44,71990.29,78600.52,73287.63,87954.414,
223,653.0254900530737,4.538322,,,,55,,,,,,,825868.44,779739.56,738599.8,858862.75,787854.06,881052.6,
49,653.094765779596,0.39327583,,,,,,,,,,,780939.9,946149.75,1304832.6,1006661.8,1107030.8,242727.25,
311,654.1320890315511,6.618183,,,,,,,,,,,498905.44,637135.7,803863.5,650511.44,856471.9,694922.5,
328,654.1321171878454,6.8096986,,,,54,,,,,,,1204750.9,1794376.4,2279394.8,1808114.8,2184351.2,1648955.5,
272,656.111378073431,6.141247,,,,,,,,,,,284289.62,463310.2,537645.1,302067.94,337164.56,606303.2,
441,660.4612359112472,8.146674,,,,,,,,,,,211932.39,511566.34,945541.7,407279.1,540546.9,435347.0,
492,673.4812933494567,10.239083,,,,,,,,,,,582906.94,164982.0,0,308278.38,211843.52,297834.56,
479,686.4767939644352,9.026662,,,,18,,,,,,,22062.918,80094.43,203047.94,76374.03,139345.5,58732.035,
450,686.476840022413,8.290746,,,,,,,,,,,4036871.0,4995126.5,6603793.0,4815158.0,6302232.0,5540009.0,
504,686.4768686474309,10.273636,,,,,,,,,,,388177.9,3328814.8,6916424.0,1262635.4,1770916.9,1378323.1,
293,696.1425565175373,6.372442,,,,,,,,,,,141808.33,164009.69,262528.25,156373.34,177264.5,193064.08,
306,696.1425769292224,6.529145,,,,,,,,,,,350067.47,428969.88,747734.6,321752.62,818027.2,746774.9,
383,701.1543278658818,7.3207817,,,,,,,,,,,174349.47,85078.9,48831.75,66890.74,118897.45,239925.19,
355,701.1543929503132,7.0816903,,,,29,,,,,,,1414335.1,681008.5,443865.78,594476.56,830867.44,1826127.5,
339,701.154404068238,6.9192157,,,,13,,,,,,,2038140.9,1022609.8,736709.6,1024169.0,1380501.6,2782409.2,
320,701.1544202083583,6.713632,,,,24,,,,,,,438592.88,235918.16,220384.11,254549.44,345496.44,730440.6,
359,716.5238635549742,7.1280007,,,,,,,,,,,1868383.4,0,0,0,0,1.5762962E7,
360,717.5272375571353,7.0948772,,,,,,,,,,,538280.5,0,0,0,0,6914794.0,
321,718.1445136062595,6.7177277,,,,24,,,,,,,340115.53,501375.3,680527.8,521636.34,643900.6,452922.44,
356,718.1445463599603,7.0816903,,,,29,,,,,,,604114.2,1092566.1,1314355.8,1066464.0,1300669.9,837015.4,
337,718.1445623156386,6.9169636,,,,13,,,,,,,1217578.1,1850230.2,2563472.8,1895395.5,2403511.5,1640605.9,
297,720.1238018410446,6.4590144,,,,,,,,,,,207354.9,258263.7,324234.38,252041.56,324907.66,291711.28,
280,720.1238043514712,6.285013,,,,,,,,,,,387900.94,448217.22,572064.0,447205.53,574251.0,566434.44,
268,720.1238499774164,6.083656,,,,,,,,,,,111426.13,110981.78,127696.22,118863.586,159711.03,166335.4,
42,747.1450109283137,0.3893013,,,,4,,,,,,,617424.0,507975.72,387885.06,468807.78,436855.6,531861.56,
66,747.1450493794176,0.51840264,,,,1,,,,,,,859145.4,667713.1,391496.3,915918.7,666939.1,993883.8,
451,749.4724471874482,8.353946,,,,,,,,,,,368597.75,827282.4,2876658.5,1034362.2,1986049.9,496903.16,
