"","filter","NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML","NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML","NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML","NEG_TJGIp3_1_Run41.mzML","NEG_TJGIp3_2_Run127.mzML","NEG_TJGIp3_3_Run165.mzML"
"185/339.0179mz/3.71min",142243.285,77845.6,48919.812,35289.637,226230.45,206640.97,240331.64
"186/495.259mz/3.78min",134839.66,428001.22,62440.375,48328.773,332291.97,130004.37,139674.95
"187/228.0877mz/3.74min",28245.879,80654.64,47076.465,63414.37,9415.293,9415.293,9415.293
"188/300.1452mz/3.75min",253451.07,481667.6,317503.25,373543.38,189398.89,146767.23,166510.92
"189/171.1027mz/3.76min",3451221,4903347,4289793,5039851.5,2612649,1946963,2272323.2
"190/189.1133mz/3.75min",415028.21,575483.94,528798.7,621423.2,301257.72,240826.8,280041.7
"191/459.2826mz/3.78min",7454261.25,9106985,3894287.8,4279734,7810441.5,7098081,8436888
"192/507.1426mz/3.79min",30376.2275,58745.457,34694.16,26058.295,78992.51,14786.346,23968.205
"193/517.1715mz/3.79min",126860.467,105320.695,106506.625,129157.53,160897.56,124723.2,128997.734
"194/159.1027mz/3.79min",98951.8,102183.6,88367.805,98328.49,99575.11,84438.82,104817.71
"195/185.1183mz/3.79min",208620.395,494974.9,175207.3,192640.81,169863.12,224599.98,254344.58
"196/236.0963mz/3.81min",910121.15,2338922.5,831779.3,988463,1603880.4,601490.44,724793.94
"197/300.1452mz/3.79min",172712.16,235862.69,143786.39,178913.4,187531.27,144960.19,166510.92
"198/201.1133mz/3.83min",718422.4,969485.75,679573.2,793442.44,757271.6,564101.56,638067.4
"199/443.2876mz/3.83min",411408.935,552096.4,168305.3,201577.64,389592.75,433225.12,517241.03
"200/185.082mz/3.84min",1853612.55,2616839,1748301.2,2973421.8,1259132.8,1414973.2,1958923.9
"201/227.129mz/3.84min",58464.3425,102636.914,71861.54,97553.11,45067.145,30464.145,44030.42
"202/141.0922mz/3.84min",306666.6,427377.22,290028.8,475304.78,221584.67,235438.89,323304.4
"203/554.2374mz/3.88min",403437.515,269177.44,373511,455273.3,236856.06,433364.03,437962.1
"204/515.3087mz/3.89min",441634.29,465652.38,179850.08,284777.38,417616.2,493797.66,667738.2
"205/179.0715mz/3.92min",735748.7,716074.1,429643.3,466017.78,866848.56,755423.3,873300
"206/213.0155mz/3.93min",503227.28,384557.88,508852.22,497602.34,437125.62,608050.06,511072.66
"207/596.2846mz/3.92min",1837951.5,1264771,1840358.5,2192448.5,1140013,1835544.5,1886925.9
"208/243.1239mz/3.96min",28697.662,66462.04,50565.402,73548.336,3696.7395,739.3479,6829.922
"209/347.2229mz/3.94min",24098.916,41210.28,40164.86,56692.133,8032.972,8032.972,8032.972
"210/141.0922mz/3.95min",366245.615,500321.72,378023.53,581102.06,269866.4,247191.78,354467.7
"211/245.0456mz/3.96min",142467.47,143889.64,121498.36,141045.3,162914.56,123814.77,160918.97
"212/187.0977mz/3.98min",270874.655,268294.97,296318.4,414953.16,273454.34,164733.75,235094.1
"213/225.1134mz/3.99min",367462.785,532665.6,382943.6,517241.3,351981.97,257763.34,342221.94
"214/285.1821mz/4.01min",30211.2395,46399.98,26587.322,45637.324,33370.93,17507.783,27051.549
"215/171.1028mz/4.01min",321418.345,310986.44,331850.25,366447.03,349785.72,293449.44,309920.97
"216/511.195mz/4.02min",463537.55,395092.34,571413.5,699296.94,273229.78,459559.8,467515.3
"218/165.0558mz/4.05min",854837.28,654029.56,428277,477008.9,1585277.2,1055645,1193007.6
"221/185.1183mz/4.12min",45522.385,32932.31,71465.45,39041.465,62762.62,52003.305,23190.357
"222/538.2424mz/4.07min",483087.795,334508.44,421646.84,544528.75,386185.88,550821.8,545060.2
"223/159.1027mz/4.07min",451268.375,608523.6,279341.88,329583.47,489492,413044.75,492997.6
"224/301.1657mz/4.08min",100601.38,121831.05,125013.836,137873.92,70544.805,58960.004,79371.71
"225/598.2998mz/4.12min",486439.315,336747.16,476405.03,553502.8,375579.84,504171.8,496473.6
"226/487.2772mz/4.12min",604649.19,657349.56,314723.53,357771.5,641567.44,567730.94,662196.4
"227/580.2893mz/4.12min",3031463,2192013.5,2937334.2,3360322.5,2418668.8,3177410.8,3125591.8
"228/210.0924mz/4.12min",641498.825,844520.7,682580.9,710000.25,600416.75,589617.94,552191.6
"230/225.1133mz/4.07min",199432.395,244703.75,185055.5,203617.12,198089.98,163296.2,200774.81
"231/473.1816mz/4.13min",2631219.65,2290079.8,2972359.5,3154496.5,2999018.5,2041935.5,2158590.2
"232/519.187mz/4.13min",2398334.7,2154340.2,2642329.2,3060514.2,2776680.8,1843104.4,2044226.6
"233/509.1582mz/4.13min",1422162.95,2152085.8,1494223.1,1350102.8,2463030,1020504.2,1071595.5
"234/536.1772mz/4.14min",343860.12,569723.06,360900.84,322806.84,646224.25,284729.75,326819.4
"236/213.1132mz/4.14min",310627.81,381872.06,277356.2,323274.84,329254.78,261183.38,297980.78
"237/401.1605mz/4.15min",56370.354,57799.2,52492.41,66253.01,70205.734,42121.81,54941.508
"238/441.1918mz/4.14min",324010.875,259134.75,293074.84,337964.78,366830.22,310056.97,338065.88
"239/487.1973mz/4.14min",323655.69,265655.06,297596.12,344969.97,381983.94,305047.5,342263.88
"240/477.1684mz/4.15min",174824.5,321068.66,161372.3,144297.11,422681.62,170275.73,179373.27
"241/300.0877mz/4.15min",193101.94,203717.66,159821.38,179804.25,247317.7,184114.05,202089.83
"243/301.1656mz/4.15min",719041.95,855571.9,944291.94,1095925.5,524761.7,482778.16,582512
"245/185.1183mz/4.17min",196222.41,209916.06,194370.27,226046.14,198074.55,139375.38,151062.9
"246/169.087mz/4.18min",88110.0875,64847.438,80147.15,113005.31,122966.27,86520.87,89699.305
"247/215.1289mz/4.18min",1307434.8,1571599,1447529.8,1685367.9,1167339.8,949406.8,1065017.5
"249/309.1709mz/4.23min",96911.2725,96844.67,79019.33,96977.875,116990.29,79134.04,103059.66
"250/441.1919mz/4.25min",154743.275,145434.58,122521.586,147903.78,188880.02,161582.77,188044.47
"251/495.2002mz/4.26min",920207.55,777750.94,995181.56,1226627.9,604105.5,912666.7,927748.4
"252/199.0977mz/4.3min",138583.22,192618.22,126639.82,272795.72,135526.89,111770.87,141639.55
"253/309.1708mz/4.32min",52577.895,51647.89,39682.992,53752.1,60525.016,32169.09,53507.9
"254/417.1557mz/4.34min",16898.1255,70600.72,21587.275,12208.976,82688.305,6753.2695,3396.9346
"255/249.1108mz/4.34min",410473.43,536813.6,478491.66,527548.4,315038.97,291240.25,342455.2
"256/314.1035mz/4.33min",313772.435,390010.94,365100.84,403876.97,219328.61,262444.03,232178.22
"257/227.129mz/4.34min",7556833.5,11585338,8679697,9936785,6433970,4726337.5,5840263
"258/183.139mz/4.34min",1019961.7,1661678.4,1162101.6,1321953.6,877821.8,623121.5,768692.5
"260/610.2999mz/4.35min",921695.5,657115.7,849019.4,994371.6,808937.25,1011405.2,1006759.25
"261/242.1762mz/4.36min",422240.11,444113.44,336911.6,416621.78,270945.97,427858.44,601054.7
"262/373.1657mz/4.36min",47704.334,64161.312,57641.438,70942.03,37767.23,29059.479,35191.97
"263/382.1299mz/4.38min",12856.134,4285.378,4285.378,4285.378,21426.89,594364.5,621435.44
"264/636.3157mz/4.39min",415458.2,333641.38,390551.8,440364.6,342599.28,477065.88,509271.6
"265/169.0871mz/4.41min",327550.53,311056.72,344044.34,381731.75,353797.72,296214.28,292685.72
"266/201.1133mz/4.4min",19286.6615,26279.498,17169.71,23755.1,21403.613,3870.9355,15121.722
"268/457.1871mz/4.44min",93257.23,144823.02,80735.65,189170.4,105778.81,63577.37,77123.016
"269/339.0181mz/4.43min",34611.0755,29920.768,5984.1536,5984.1536,103072,39301.383,49511.527
"270/359.2189mz/4.44min",529227.68,1221400.4,654921.2,801267.7,334993.12,332278.2,403534.16
"271/375.2178mz/4.45min",520329.14,775494.94,708184.75,871830.25,292607.9,332473.53,309723.5
"272/441.1919mz/4.45min",743648.275,648908.25,631233.9,707154.75,826805.7,780141.8,857861.4
"273/477.1686mz/4.45min",514459.63,906369.44,415969.25,399712.16,1041964.44,495171.06,533748.2
"274/487.1974mz/4.45min",601497.25,503212.78,492620.44,563863.9,643212.8,639130.6,716691.06
"275/504.1874mz/4.45min",85065.47,151909.84,58431.01,49822.29,183692.61,76468.11,93662.83
"276/401.1607mz/4.45min",63204.5215,72626.34,43164.473,53782.703,78148.62,52066.32,72783.8
"277/417.1556mz/4.48min",50607.17,80683.484,47392.152,53822.188,99802.5,42251.3,41403.926
"278/523.2562mz/4.48min",1408582.65,1679296.2,1431829.2,1631946.8,855210.5,1257822.8,1385336.1
"279/438.1924mz/4.48min",7183.1812,7183.1812,7183.1812,7183.1812,7183.1812,35915.906,38342.438
"280/373.1657mz/4.49min",119052.322,180388.38,130881.16,163887.38,107223.484,47474.49,91244.75
"281/468.1664mz/4.49min",59034.176,59034.176,59034.176,59034.176,59034.176,295170.88,404008.66
