Filename,2024_POS_Y-EV_1_CTRL_Run88.mzML,2024_POS_Y-EV_2_CTRL_Run117.mzML,2024_POS_Y-EV_3_CTRL_Run138.mzML,2024_POS_Y-p12_1_Run94.mzML,2024_POS_Y-p12_2_Run111.mzML,2024_POS_Y-p12_3_Run132.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
561/296.1182mz/3.86min,1022221.1,1073647.1,1291972.4,718498.94,796409.56,791849.2
562/246.1699mz/3.94min,519800.25,571127.2,1987819.8,757250.4,587184.44,664668.06
563/514.2855mz/3.97min,737028.3,705689.5,773925.8,482975.5,540849.44,518286.44
564/208.0968mz/4.01min,20984.156,12054.776,39156.016,18824.37,19907.676,19979.482
565/166.0862mz/4.08min,115847.35,112845.75,128414.375,94036.695,86812.04,69838.586
567/208.0968mz/4.19min,300740.84,378831.47,1099749.8,351156.56,392522.12,292671.75
568/274.1649mz/4.21min,54366.617,53743.312,71238.83,45748.363,40381.29,45106.418
569/321.1738mz/4.32min,992001.3,1086072.6,946663.9,779567.75,863701.1,732792.56
570/325.1257mz/4.32min,791564.8,947592.75,800734.6,639559.4,703576.6,636771.4
571/320.1703mz/4.32min,6569192.5,7346856.5,6219641.0,5171805.5,5704549.5,4913738.0
572/195.1379mz/4.34min,812781.0,875569.5,807515.7,855794.3,781512.06,849667.6
573/364.1965mz/4.4min,557508.9,597157.3,622036.4,474067.84,483041.7,434351.34
574/226.1801mz/4.43min,1147407.1,1148428.6,1297287.9,1173024.6,1200868.1,1253939.0
575/244.1906mz/4.43min,809037.44,790912.44,881573.9,832393.5,837319.9,875316.44
576/408.2226mz/4.47min,633332.44,667080.5,704495.3,533712.06,485232.12,438399.72
577/392.1914mz/4.56min,2846319.8,3179010.2,2858204.5,2222471.5,2582643.5,2250097.2
578/397.1467mz/4.56min,378749.62,429657.97,414631.47,326917.47,346164.72,336539.25
579/267.1128mz/4.6min,1547464.6,1677724.2,1818042.5,974054.25,1030452.8,1030939.3
580/249.1022mz/4.6min,517250.03,562867.0,646210.5,336687.22,330808.9,348883.9
583/232.9823mz/4.75min,646710.8,675164.56,637987.9,702871.56,662832.3,716494.06
584/656.071mz/4.75min,1528407.6,1645017.6,1877409.1,1567618.8,1647116.2,1673722.5
586/211.9705mz/4.75min,3249104.8,3501345.2,3369710.0,3542918.2,3315559.5,3633054.5
587/213.9685mz/4.75min,3132329.8,3432208.5,3270570.8,3434003.5,3192621.8,3489247.5
588/229.9811mz/4.75min,7804118.5,8275373.0,7922021.5,8422569.0,7950887.5,8488996.0
589/231.979mz/4.75min,7680762.0,8238684.0,7872870.0,8327433.5,7882537.0,8495395.0
590/230.9844mz/4.75min,646758.6,703483.4,682182.56,711723.06,662218.3,705439.44
591/524.2698mz/4.76min,386681.56,386359.62,403849.9,314355.66,300442.5,245436.55
592/551.2695mz/4.8min,668893.75,768663.1,741831.06,541949.25,504195.75,422676.3
593/573.2513mz/4.8min,1935320.0,2297326.5,2320134.5,1587960.2,1691018.8,1208229.5
594/568.2961mz/4.8min,20329090.0,22598366.0,22018754.0,15852812.0,16498017.0,12971411.0
599/211.0866mz/4.87min,85409.66,81906.52,91273.21,58658.395,52223.22,38163.598
600/250.1777mz/4.88min,488450.84,468579.78,548775.1,503238.25,506175.5,487895.34
601/228.1958mz/4.88min,2834882.5,2840944.8,3411175.8,3263519.5,3131480.0,3101521.8
602/229.1991mz/4.88min,376434.88,374900.4,443264.38,441553.8,404476.88,406802.06
603/267.1128mz/4.92min,36088.74,44952.383,49094.16,20684.969,21921.914,25249.203
604/158.1539mz/4.95min,790881.56,815626.3,748379.0,767344.5,771003.5,775013.44
606/640.3173mz/4.96min,1098823.4,1196946.0,1259036.6,906740.44,771958.0,676678.5
608/244.1907mz/5.13min,74583.19,60355.43,163491.55,109459.95,105361.12,73753.61
609/404.2066mz/5.2min,436804.84,491200.3,769826.3,279014.7,340430.9,382607.88
610/432.2381mz/5.2min,22015.445,33123.73,61704.176,11551.485,32156.908,25341.2
611/387.1801mz/5.2min,415267.47,472704.7,765141.75,265178.84,340456.22,384213.72
612/209.1536mz/5.26min,105422.53,119328.5,107104.625,114972.625,109144.07,118347.67
613/318.3002mz/5.46min,7039743.5,7434715.5,7826692.0,4699470.5,5106523.0,4151069.5
614/356.1029mz/5.46min,755166.9,764200.94,850742.4,499250.44,575849.1,567247.1
615/387.193mz/5.56min,325564.9,320251.8,311618.22,351207.22,406247.6,504380.7
616/256.2634mz/5.55min,20889.637,23502.65,32374.365,5992.955,11320.103,0.0
617/239.1641mz/5.62min,304043.62,310298.4,371347.97,221957.28,228471.69,197462.22
618/415.2113mz/5.64min,1807646.8,1720918.8,1924993.8,1546124.8,1585190.4,1501203.0
619/432.2378mz/5.64min,2173636.2,2033329.0,2204295.2,1825029.9,1889243.0,1773677.5
620/437.1932mz/5.64min,324336.2,318658.38,337647.12,275069.3,287536.5,285365.28
621/446.2535mz/5.64min,379785.1,347529.34,323382.88,300346.1,321987.03,328516.53
622/312.1131mz/5.66min,1162222.2,1111382.9,1392207.1,717959.4,894045.0,825265.94
623/307.2478mz/5.68min,433005.2,448187.72,435119.3,452613.34,445511.5,449353.38
624/330.3002mz/5.77min,390860.0,339303.0,110346.46,0.0,216897.64,179368.89
