row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,NEG_TJGIp2_1_Run53.mzML Peak area,NEG_TJGIp2_3_Run192.mzML Peak area,NEG_TJGIp2_2_Run121.mzML Peak area,
217,131.0713168881574,2.6117408,,,,,,,,,,,63421.98,48298.773,33981.957,36537.7,50241.234,7926.8037,
2042,132.03016913031,10.154558,,,,,,,,,,,48978.59,32876.33,59171.72,11396.389,0,10263.878,
2048,132.90015252586332,10.180387,,,,,,,,,,,205815.08,834777.3,179583.56,477381.0,118252.88,260446.2,
1915,132.92336358756796,8.29534,,,,,,,,,,,827795.25,535435.94,1033324.06,3261979.8,673182.0,1119659.0,
1683,132.923365719771,7.7171187,,,,,,,,,,,581802.4,1004804.1,874344.75,1241818.8,872116.9,214077.83,
1826,132.92336986406448,8.139262,,,,103,,,,,,,429754.38,1308345.8,5036373.5,736387.44,750437.56,5739851.5,
58,133.01414853498176,0.38254622,,,,10,,,,,,,6962417.0,1.2551164E7,2.1070608E7,1.2703596E7,9358972.0,1.7628488E7,
87,133.05048014406506,0.46129048,,,,,,,,,,,434241.1,508770.94,663011.8,266387.8,419128.3,385837.6,
103,133.05051851829032,0.60494536,,,,156,,,,,,,1888189.5,2460585.8,1440463.8,2404861.8,4330675.5,2179971.2,
41,134.01752063076864,0.38029277,,,,,,,,,,,282298.4,513775.75,881926.1,525372.8,153567.88,721546.94,
73,134.04714820911138,0.4120023,,,,116,,,,,,,374128.44,277004.12,83698.92,274932.84,538537.4,100246.49,
141,134.04718322504573,0.88001984,,,,157,,,,,,,1981824.6,1703892.2,2720068.2,1713454.5,5210602.5,2887271.0,
154,134.0472068850839,1.043901,,,,,,,,,,,196498.23,152750.3,90352.84,15866.659,249316.75,246136.22,
