row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML Peak area,NEG_TJGIp11_3_Run150.mzML Peak area,NEG_TJGIp11_2_Run124.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML Peak area,NEG_TJGIp11_1_Run26.mzML Peak area,Unnamed: 19
3127,632.3655804525562,9.609456,,,,,,,,,,,0.0,0.0,125811.516,0.0,322027.62,372010.06,
2988,632.4014688022924,8.605771,,,,,,,,,,,190641.34,76839.32,205401.67,46243.773,323342.44,324277.12,
1614,632.4015001712401,6.293614,,,,120.0,,,,,,,1212844.8,1030953.0,1568264.6,1031208.0,1268409.0,1432700.2,
1577,634.4181496864842,6.179133,,,,77.0,,,,,,,435206.97,409103.06,587732.2,529759.5,198774.97,591495.5,
395,636.3155044876279,4.3875269999999995,,,,,,,,,,,468592.0,471304.78,175026.08,212762.23,314345.9,238162.0,
1651,636.4341664765059,6.418858,,,,47.0,,,,,,,10546434.0,10901307.0,13590063.0,13063384.0,7706454.5,14396918.0,
3075,636.5211160971912,9.267287,,,,128.0,,,,,,,447573.34,310731.3,688486.8,312492.9,674714.1,678012.2,
2659,637.3350202199669,7.9630713,,,,,,,,,,,652174.6,175722.33,1012369.25,104809.43,0.0,0.0,
2440,637.3350762484025,7.7087449999999995,,,,,,,,,,,523033.28,1510055.9,538922.94,1797729.5,0.0,12716.171,
2603,637.3351779165038,7.8368325,,,,152.0,,,,,,,1155860.2,1580795.1,1472364.6,3966552.8,0.0,7857.705,
2638,637.4318884663005,7.917262599999999,,,,,,,,,,,107854.99,59308.055,59961.914000000004,31840.857000000004,318099.75,120637.09,
1650,637.4373323558551,6.4215617,,,,,,,,,,,3872262.0,4034688.0,4941425.5,4759490.5,2886997.5,5293896.0,
1739,638.3113060114949,6.640566000000001,,,,,,,,,,,136603.44,122130.53,52870.78,51145.887,507787.94,385964.47,
1206,638.3769207366438,5.4413304,,,,15.0,,,,,,,620312.8,497636.44,763386.56,697655.9,285261.75,625259.56,
1406,638.4131081371385,5.8711567,,,,73.0,,,,,,,79865.55,56834.684,124140.11,116765.57,66064.35,162909.97,
1483,638.4134075292736,6.036575,,,,79.0,,,,,,,386028.12,607177.3,622310.2,337328.0,224207.05,658794.1,
3112,638.5368558343406,9.545289,,,,82.0,,,,,,,1608234.0,1063736.1,4224215.0,1439699.8,3068291.5,5594861.0,
2691,639.3204224615474,8.089671000000001,,,,,,,,,,,100383.45,55955.527,96892.81,53503.418,437998.75,159171.66,
1335,640.3926933510458,5.704983,,,,44.0,,,,,,,102835200.0,107872030.0,130868310.0,122140290.0,89296800.0,133053740.0,
1559,640.3927056355246,6.151135,,,,,,,,,,,629002.75,644646.56,1029574.25,963145.25,579644.4,887134.56,
1427,640.3929356571301,5.9258723,,,,53.0,,,,,,,1462408.4,1738332.9,2395185.2,1927610.0,1138802.8,2170875.2,
1411,640.4282329457084,5.874893,,,,,,,,,,,121731.6,125978.79,241967.25,253428.12,135687.45,311230.7,
1373,642.3639026412502,5.794169999999999,,,,,,,,,,,49810.508,57795.195,89881.45,64184.168,198178.12,261888.53,
1295,642.3640931369288,5.594894,,,,,,,,,,,123214.53,119267.266,106810.664,104550.7,342081.28,196315.4,
2442,643.3610296711328,7.691097999999999,,,,,,,,,,,45323.34,265195.3,210299.42,510448.94,2786.5034,0.0,
2535,643.3616328639881,7.824364699999999,,,,,,,,,,,106479.73,99550.46,491226.3,264364.5,0.0,0.0,
3092,643.3651339672155,9.418,,,,,,,,,,,58135.15,42656.434,7874.045999999999,3334.4106,38784.19,22492.8,
