Filename,POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML,POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML,POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML,POS_TJGIp2_1_Run37.mzML,POS_TJGIp2_2_Run93.mzML,POS_TJGIp2_3_Run161.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
2837/586.5664mz/7.81min,1063314.1,250531.45,17087.32,184416.64,258641.52,99114.76
2838/481.3283mz/7.77min,339785.7,241690.19,548849.44,7075.199,449070.34,514489.9
2842/441.3352mz/7.77min,1771166.1,1395598.1,2017581.1,649800.0,1768956.9,1689879.6
2843/476.3727mz/7.77min,2533891.8,856975.75,1081709.0,486928.16,1594930.4,1141274.4
2844/440.3149mz/7.77min,922345.06,656341.06,871029.94,329045.03,778219.2,836792.6
2845/479.2553mz/7.78min,471837.56,505311.72,797465.5,93065.09,663989.94,757426.06
2846/903.5729mz/7.77min,174760.84,229450.42,444751.16,10369.827,305921.8,367926.84
2847/315.2313mz/7.77min,17540904.0,9499248.0,13965323.0,4777121.5,15093984.0,13340916.0
2848/333.2418mz/7.77min,2254609.0,1336831.5,1688080.2,563141.2,1885824.2,1706836.5
2849/463.2812mz/7.78min,7347940.5,7196641.0,13878444.0,1186857.9,10093485.0,12910486.0
2850/441.2994mz/7.78min,4231361.5,2641908.5,3281988.8,1103791.0,3695348.8,3387105.0
2852/458.3254mz/7.78min,466598.8,285704.12,332531.22,109238.914,393456.38,353261.47
2853/486.3572mz/7.78min,232064.73,284238.72,485366.22,63328.977,388642.84,479329.53
2854/542.3467mz/7.78min,466272.12,312881.12,730771.2,107170.28,486535.25,581298.0
2859/313.2731mz/7.79min,606249.56,338697.6,608473.75,210212.72,606883.4,377745.84
2860/694.4645mz/7.79min,2313035.0,3396727.5,5599139.5,1929629.9,5005303.5,4206987.5
2862/245.138mz/7.79min,821291.0,518958.9,828682.06,314831.06,862176.3,642965.3
2864/427.3201mz/7.79min,7044859.0,6554650.0,9461744.0,3813774.8,8863399.0,8785070.0
2868/284.2944mz/7.79min,10053548.0,7623362.5,12485956.0,3601523.2,8425027.0,14127553.0
2872/574.5663mz/7.82min,4196909.0,2093296.0,510469.38,2109263.5,2488111.0,803595.75
2875/846.5849mz/7.78min,193421.28,73967.125,272992.88,197798.1,1466385.0,235843.23
2876/518.4045mz/7.8min,1751143.8,583769.6,986475.5,424394.38,1440637.0,823841.56
2877/227.1275mz/7.8min,845563.4,442491.56,726866.25,269600.5,877527.56,644464.0
2878/523.3599mz/7.81min,1902956.6,1217870.6,4096281.2,292466.66,3316189.2,2878502.0
2879/347.2575mz/7.81min,934628.3,1223781.5,2018257.1,569203.8,1313680.6,1512166.2
2880/483.3672mz/7.81min,1822146.9,1817154.0,1864103.6,1040178.1,2632840.5,1376902.1
2882/409.2003mz/7.82min,0.0,0.0,7877.42,105879.06,440845.8,181148.14
2884/391.1898mz/7.82min,91432.31,0.0,95083.78,554846.6,2000032.6,866511.8
2886/323.1272mz/7.82min,13305.986,0.0,9921.949,160858.05,621549.56,260099.36
2887/412.3286mz/7.83min,3313686.2,1343613.5,3387483.2,1050427.8,3062199.8,3376025.0
2888/411.3252mz/7.83min,10616097.0,4225715.0,10873783.0,3379315.8,9842923.0,11256181.0
2892/496.3414mz/7.84min,224548.53,60546.26,250339.89,71439.26,266496.22,222381.97
2894/458.2815mz/7.84min,226137.83,150959.77,339217.62,87134.98,291098.66,325574.53
2897/680.449mz/7.89min,1486099.2,1162552.9,4241481.5,1019785.4,2373040.5,1882456.1
