Filename,2024_NEG_CC_1_Run21.mzML,2024_NEG_CC_2_Run48.mzML,2024_NEG_CC_3_Run62.mzML,2024_NEG_CC-VPA_1_Run27.mzML,2024_NEG_CC-VPA_2_Run36.mzML,2024_NEG_CC-VPA_3_Run77.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
454/250.8917mz/8.76min,3392488.5,3645007.5,2225919.8,2823585.2,1540198.0,1649771.4
455/591.4381mz/8.77min,739451.3,464032.3,453577.44,477274.5,504683.0,516856.7
456/567.4381mz/8.78min,272818.2,102572.33,177928.62,173586.83,261373.66,273451.72
457/797.5535mz/8.79min,625299.4,438320.84,474782.56,418829.06,402497.34,452981.1
458/697.5376mz/8.82min,3654560.5,1577013.2,2515630.8,2681006.8,3164198.8,3494799.2
459/751.5852mz/8.82min,179192.11,102876.125,119608.805,125597.03,152078.39,147792.27
460/735.5533mz/8.86min,388489.8,153338.45,221369.4,269344.22,371369.16,350166.0
462/545.4537mz/8.9min,1887433.6,1087611.9,1925045.2,1487791.5,1649949.9,1669862.2
463/100.9336mz/8.93min,208869.45,219470.23,530048.6,229063.38,828886.2,727230.56
465/683.5218mz/8.92min,371122.66,207491.06,395998.4,268130.4,479842.47,428420.84
467/115.9207mz/8.92min,791375.9,2873669.8,1032670.6,3373626.2,1463852.8,2315851.5
469/607.4695mz/8.96min,694066.5,557690.94,561870.75,471346.2,485484.56,500661.1
470/186.9706mz/8.98min,800297.25,799944.06,779927.56,847914.75,426759.97,360173.3
471/735.5508mz/8.97min,64852.88,19590.271,41078.19,53107.066,82295.2,62425.875
473/122.9758mz/9.0min,470112.53,360871.94,360409.03,463760.34,303296.2,353130.53
474/180.9812mz/9.0min,262951.22,348261.06,366183.97,426495.84,307004.88,335785.25
475/662.4766mz/9.01min,190316.08,193675.34,152641.75,91913.74,109929.1,192612.69
476/465.2676mz/9.01min,799605.2,692886.8,640698.25,851243.94,623879.44,669371.9
477/325.1844mz/9.01min,143837.53,159171.53,111838.32,194949.7,88369.625,108620.24
478/311.1687mz/9.01min,225288.6,224110.19,196495.12,274992.3,151399.84,165504.69
479/856.6885mz/9.02min,601245.1,1042322.06,1384980.5,1248965.1,1213100.6,1448129.4
480/873.6787mz/9.06min,1609922.9,923472.4,1279657.4,1244390.8,950071.8,1305520.1
481/751.5842mz/9.1min,46816.63,9553.113,25838.979,54739.7,31811.475,29142.725
482/621.485mz/9.21min,2462108.0,1529012.5,1690155.2,1955212.2,1799537.9,2013175.6
483/604.495mz/9.21min,1165879.9,925126.75,974919.8,866854.1,1104123.0,1089748.2
484/751.5843mz/9.24min,417955.16,147468.19,285917.28,344769.5,377479.6,410002.12
485/573.485mz/9.31min,2120806.0,1153599.8,1560145.2,1843327.9,1783520.0,1727346.8
486/556.4948mz/9.31min,1175858.1,760710.94,940245.2,969095.06,1082988.6,1094083.0
487/618.5105mz/9.37min,2906701.2,2199139.5,2239133.5,2092139.2,2313444.8,2423251.8
488/635.5008mz/9.37min,2906184.5,2225450.5,2079208.9,2621139.8,2130076.8,2250465.2
489/573.4849mz/9.43min,65062.6,59993.105,72964.734,88160.016,35887.645,72810.83
490/467.2833mz/9.44min,772931.6,285434.88,336049.3,626796.7,589527.75,628515.3
491/325.1843mz/9.44min,101063.88,26891.41,62154.918,124096.164,141775.75,118277.76
492/311.1687mz/9.44min,211164.33,76428.63,211513.47,107772.625,90079.92,99105.67
495/711.6259mz/9.48min,0.0,1023639.94,143445.05,1533891.2,1050438.8,91359.72
496/662.4768mz/9.5min,850454.4,120076.7,142361.53,118070.97,160048.1,305607.94
497/649.5164mz/9.69min,1325754.4,539713.06,762257.25,929215.0,899913.3,1059682.4
498/632.5262mz/9.7min,1273757.9,752782.06,901870.6,892072.6,1082226.6,1170356.6
499/683.5945mz/9.8min,978145.5,422051.44,648173.44,800601.4,780448.7,810674.8
