"","filter","2024_POS_CC-Media_1_Run17.mzML","2024_POS_CC-Media_2_Run53.mzML","2024_POS_CC-Media_3_Run73.mzML","2024_POS_CC_1_Run20.mzML","2024_POS_CC_2_Run47.mzML","2024_POS_CC_3_Run61.mzML"
"551/408.3082mz/7.52min",187862.85,62620.95,62620.95,62620.95,1356490.4,313104.75,826013.06
"552/354.3365mz/7.55min",117860.62,389993.8,87126.45,92017.82,78915.31,325884.06,143703.42
"553/397.3099mz/7.54min",57896.424,19298.808,19298.808,19298.808,311417,96494.04,483759.84
"556/691.53mz/7.56min",29220.426,9740.142,9740.142,9740.142,408654.9,48700.71,278005.03
"557/497.3601mz/7.56min",36828.2436,12276.0812,12276.0812,12276.0812,411505,61380.406,227513.2
"559/669.3279mz/7.57min",21293.516,21293.516,21293.516,21293.516,106467.58,21293.516,197825.12
"560/455.3522mz/7.59min",49018.0404,16339.3468,16339.3468,16339.3468,354719.75,81696.734,519052.1
"563/311.258mz/7.6min",652923.72,217641.24,217641.24,217641.24,1280813.8,1088206.2,2570127.2
"564/312.2614mz/7.59min",124170.384,41390.128,41390.128,41390.128,246464.55,206950.64,509221.3
"565/333.24mz/7.6min",100691.772,33563.924,33563.924,33563.924,203601.39,167819.62,343585.44
"566/440.3733mz/7.59min",1205967.8885,1673.1688,8365.844,43931.977,5187358.5,2368003.8,4699214.5
"567/462.3552mz/7.6min",739190.88,246396.96,246396.96,246396.96,4464424.5,1231984.8,3284688
"569/265.2527mz/7.58min",56560.0665,1186.6178,15063.803,5933.089,157325.1,98056.33,139418.03
"570/422.3631mz/7.6min",166463.55,55487.85,55487.85,55487.85,623162.25,277439.25,562340.06
"571/279.2318mz/7.6min",50618.958,16872.986,16872.986,16872.986,104329.93,84364.93,232593.02
"572/508.3997mz/7.6min",82030.704,27343.568,27343.568,27343.568,231617.55,136717.84,219693.06
"573/357.2998mz/7.6min",359097.336,119699.112,119699.112,119699.112,1010971.06,598495.56,909195.06
"575/339.2892mz/7.63min",106980.42,35660.14,35660.14,35660.14,405750.5,178300.7,356638.62
"576/376.3186mz/7.6min",181924.165,224060.28,66004.81,65056.11,420608.1,139788.05,422823.75
"577/354.3365mz/7.6min",504277.205,486707.6,504419.88,504134.53,714735.6,470990.53,911739
"578/336.3259mz/7.61min",153193.405,152037.61,145675,146996.84,221122.31,154349.2,286090.5
"579/421.3464mz/7.64min",47633.838,15877.946,15877.946,15877.946,299640.2,79389.73,1046938.8
"580/331.2633mz/7.63min",12154.5,4051.5,4051.5,4051.5,245693.8,20257.5,169734.66
"585/357.2787mz/7.65min",434522.55,144840.85,144840.85,144840.85,1032303.94,724204.25,1662623.6
"589/439.3569mz/7.63min",256766.88,85588.96,85588.96,85588.96,427944.8,545851,1135547.6
"591/497.3603mz/7.68min",21958.1484,7319.3828,7319.3828,7319.3828,135351.66,36596.914,144145.9
"593/743.5605mz/7.68min",81095.7,27031.9,27031.9,27031.9,687385.25,135159.5,465768.4
"594/479.3495mz/7.68min",61512.825,20504.275,20504.275,20504.275,746683.25,102521.375,593283.5
"596/495.3444mz/7.68min",98362.248,32787.416,32787.416,32787.416,540115.3,163937.08,1467241.2
"597/357.2997mz/7.68min",412472.064,137490.688,137490.688,137490.688,1156175.1,687453.44,1011366.5
"598/379.2817mz/7.68min",31637.421,10545.807,10545.807,10545.807,472827.22,52729.035,192671.88
"600/339.2892mz/7.68min",152595.3,50865.1,50865.1,50865.1,485049.84,254325.5,403657.6
"602/746.5686mz/7.71min",486528.44,58343.376,681340,683490.1,58343.376,291716.88,1280130.6
"605/704.5222mz/7.68min",17741937.883,7804.7532,210111380,209138430,7804.7532,35444852,39023.766
"606/707.5318mz/7.72min",69785.583,23261.861,3580618,4241999.5,23261.861,116309.305,23261.861
"607/265.2526mz/7.69min",93925.488,31308.496,31308.496,31308.496,261957.95,156542.48,215768.48
"609/706.5285mz/7.7min",1824999.3,608333.1,22774030,22912804,608333.1,3041665.5,608333.1
"610/581.3119mz/7.7min",102496.602,34165.534,34165.534,34165.534,366071.62,170827.67,340176.16
"611/659.2866mz/7.7min",352484.015,344760.78,277704.6,28297.617,790604.9,360207.25,1075629.8
"612/654.3317mz/7.7min",3561682.5,3824198,3810850.2,558236.56,3312514.8,1873238.6,4090298.8
"613/637.3049mz/7.7min",1017950.75,1138536.8,1202981.2,156817.44,897364.7,496261.8,1159171.6
"614/437.3412mz/7.72min",60017.34,20005.78,20005.78,20005.78,151145.2,100028.9,343678.66
"616/420.3318mz/7.73min",235034.47,123648.29,500589.25,375340.72,244940.77,122251.32,225128.17
"619/522.3782mz/7.72min",15344.55,15344.55,15344.55,15344.55,15344.55,76722.75,969627.4
"620/328.3209mz/7.74min",52545.0516,17515.0172,17515.0172,17515.0172,221520.3,87575.086,164891.4
"622/468.4045mz/7.75min",30105.729,10035.243,10035.243,10035.243,133364.45,50176.215,142252.48
"624/408.3085mz/7.75min",466374.37,893982.5,564005.8,368742.94,58458.47,172722.94,1128635.8
"626/490.3887mz/7.78min",58294.908,19431.636,19431.636,19431.636,470720.8,97158.18,755154.1
"628/628.4993mz/7.75min",87859.065,117531,56522.69,50660.64,333872.72,71465.04,104253.09
"630/228.1957mz/7.77min",658901,688862.06,964845.56,628939.94,140588.52,318605.72,1342528.2
"631/209.1536mz/7.78min",342518.78,363330.66,516417.4,321706.9,26118.984,130276.75,702720.4
"632/173.1325mz/7.79min",179084.745,191176.16,246509,166993.33,7446.9014,76368.09,351525.8
"634/208.1696mz/7.76min",136111.735,143052.4,216356.06,129171.07,11766.604,58833.02,293701.25
"637/584.4732mz/7.76min",137382.975,149943.97,72051.21,61263.008,547539.3,124821.98,159594.02
"638/226.1801mz/7.77min",923845.6,959330.2,1325953.2,888361,59382.027,406357.06,1784599.4
"639/244.1907mz/7.77min",179863.845,196362.3,265446.84,163365.39,77306.7,66335.08,356307.7
"640/229.1992mz/7.81min",120731.625,170109.3,119482.95,121980.3,7503.9097,56149.043,177371.3
"641/771.6453mz/7.81min",184560.51,211909.19,312616.88,157211.83,4256.6476,21283.238,427802.06
"642/191.143mz/7.78min",158258.925,169705.16,236748.69,146812.69,3549.2642,65699.734,321619.88
"643/540.4465mz/7.77min",192920.76,185547.42,89831.71,83935.75,854104.5,200294.1,264942.5
"644/496.4204mz/7.78min",252937.435,221508.97,105642.94,83479.516,1089871.4,284365.9,365973.25
"646/413.3048mz/7.78min",87332.868,29110.956,29110.956,29110.956,607426.56,145554.78,510506.16
