"MetaboAnalyst_ID","GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML","GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML","GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML","GF_S4_MC_RCG_1_pos_20210511_Run70.mzML","GF_S4_MC_RCG_2_pos_20210511_Run90.mzML","GF_S4_MC_RCG_3_pos_20210511_Run170.mzML","shared_name"
"7310/360.736mz/4.56min",3.4544997984649,3.27954722167134,3.44155036041642,3.27649557605571,3.27493408365551,3.3862174582649,"7310"
"7317/230.175mz/4.56min",2.22918388920577,2.05132447307668,2.31472470353109,2.48986689782869,2.42595185760636,2.45683045522529,"7317"
"7329/356.254mz/4.59min",2.46510256979922,2.28520920169714,2.51224224339591,2.61526020678729,2.63790689577769,2.65443188395894,"7329"
"7330/311.2214mz/4.59min",2.73970023134417,2.51694088822215,2.72958506093793,3.15202371411656,3.08194659035729,3.03758535931561,"7330"
"7333/181.1223mz/4.6min",2.98091529238721,2.2425390456949,3.16122834260706,3.31550088398603,2.88837741240429,3.264192568187,"7333"
"7334/584.8232mz/4.57min",2.66675122669079,2.47744334024668,2.6413134679224,1.77097338928911,2.27170880221933,2.36206943241135,"7334"
"7339/346.1798mz/4.61min",2.56348536430489,2.41147711550353,2.38197774823256,2.09404539160465,2.00690301840869,2.25009899172779,"7339"
"7344/213.9684mz/4.61min",2.6772016426665,2.67156492063317,2.6582789904921,2.67088645163606,2.6747192465742,2.64801588022503,"7344"
"7346/211.9705mz/4.62min",2.69991257187163,2.69441045339088,2.68536886508571,2.68780992029035,2.69294199227453,2.67333343903781,"7346"
"7348/231.979mz/4.62min",2.99428873838945,2.99373722891291,2.99683896553385,2.99486608744426,2.99896318795697,2.98607080326139,"7348"
"7349/351.214mz/4.62min",2.49479927267964,2.39491100936395,2.52379865287352,3.07753860055747,2.95854760608391,3.05370289997244,"7349"
"7350/171.0916mz/4.6min",2.3657517179215,2.17746101416182,2.30912697959756,2.3376405432755,2.27711181424705,2.14632474881525,"7350"
"7356/264.1592mz/4.63min",2.64915230094712,2.44941662498193,2.67780668853521,2.88790513370566,2.84555258290089,2.86928049552611,"7356"
"7358/396.2855mz/4.65min",3.41171980571902,3.19286798199899,3.36821225927199,1.00883318932492,1.23778951733683,1.29308593664099,"7358"
"7363/353.7282mz/4.64min",2.80226313650473,2.63805810512638,2.80245440392667,2.83999163559391,2.94918654157583,2.85244880561526,"7363"
"7364/706.4493mz/4.64min",2.41131219886858,2.16020245494448,2.38260070785208,2.48537094304154,2.60796624076775,2.47211736628231,"7364"
"7367/559.3488mz/4.64min",2.57496300827442,2.3397804461445,2.56357635501009,2.37783395963008,2.34555341595027,2.58218803064006,"7367"
"7370/277.1795mz/4.65min",2.05660750008405,1.72641885631686,1.94505760204021,2.59654869668798,2.40322957344581,2.34738392291438,"7370"
"7377/229.1332mz/4.66min",2.87243096545947,2.6224553496902,2.75434061037921,1.13793208014568,1.67048752752442,1.26861437731734,"7377"
"7378/380.1641mz/4.66min",3.13966960168427,2.95203923780859,2.83342699802043,2.35427483913144,2.39075392199486,2.43162627027642,"7378"
"7380/336.1743mz/4.67min",3.11960422187252,2.94077086970593,2.7936149659195,2.2594363220532,2.26620180326318,2.35118784042875,"7380"
"7381/253.1181mz/4.67min",2.49309836930266,2.21587500791247,2.77529961675449,2.81484494100953,2.92872952281876,2.83695996481485,"7381"
"7389/826.4706mz/4.68min",2.56719463851245,2.31606567336917,2.55426511266461,2.36861787073093,2.42228363454683,2.5025925897568,"7389"
"7390/413.7387mz/4.68min",2.87400663287136,2.69318396222184,2.88690177383904,2.60875799832589,2.66927250751163,2.76976111503125,"7390"
"7404/181.1223mz/4.7min",2.77011895080499,2.46129413168507,2.78744673958165,2.97367336043467,2.84995546918994,2.94841141116974,"7404"
"7405/199.1328mz/4.7min",2.15701444672406,1.87503682443814,2.14120725038105,2.30039956698548,2.21551278952124,2.33961361164119,"7405"
"7411/697.4289mz/4.7min",1.03503482571296,1.32459465322238,1.13705004720969,2.71391510097395,2.79535816383933,2.72521157718245,"7411"
"7419/333.204mz/4.72min",2.22123470855632,2.13299188590095,2.1763530604689,2.71289969096773,2.62133316631481,2.64301095308889,"7419"
"7426/275.2004mz/4.73min",3.01038059299647,2.79900836685737,2.97503099079604,3.44357236184861,3.38339435015254,3.33783065889653,"7426"
"7427/541.3382mz/4.73min",3.06964465308395,2.87454730128904,2.99804601231375,3.02904927414495,2.98138989705705,3.06688998793826,"7427"
"7430/542.3416mz/4.73min",2.58046625950766,2.38671472634364,2.47174552943809,2.51179002236867,2.45422223395904,2.55228580375242,"7430"
