"MetaboAnalyst_ID","Yeast_HE_D5.Ctrl_a_neg_20190515_Run37.mzML","Yeast_HE_D5.Ctrl_b_neg_20190515_Run40.mzML","Yeast_HE_D5.Ctrl_c_neg_20190515_Run43.mzML","NEG_D5.227.C2.a_Run248.mzML","NEG_D5.227.C2.b_Run251.mzML","NEG_D5.227.C2.c_Run254.mzML","shared_name"
"421/118.9267mz/7.87min",2.74331537146499,2.74331537146499,2.74331537146499,2.74397334253669,2.79407384600873,2.73523539820077,"421"
"422/194.9057mz/7.87min",2.54061118998006,2.54061118998006,2.54061118998006,2.70986551228889,2.54061118998006,2.61904441579264,"422"
"423/379.1793mz/7.87min",3.10629199404141,3.10629199404141,3.10629199404141,3.11680394190756,3.1105109575198,3.09821202050782,"423"
"424/381.1738mz/7.87min",4.40990252320929,4.40990252320929,4.40990252320929,4.41189656816419,4.41065145453856,4.40182254961351,"424"
"426/325.1841mz/7.87min",2.92090591753647,2.92090591753647,2.92090591753647,2.96881334103342,3.00398419651795,2.91282594408695,"426"
"429/117.9285mz/7.87min",3.34638328757125,3.34638328757125,3.34638328757125,3.33859227227846,3.36518308880946,3.3484197622204,"429"
"430/118.924mz/7.87min",2.79912896981534,2.79912896981534,2.79912896981534,2.87740929215971,2.92075461356177,2.79104899647594,"430"
"434/281.2482mz/7.87min",0.197536282558031,0.197536282558031,0.895468022663156,3.12279258710805,2.99519393319569,2.93158012415365,"434"
"445/383.1776mz/7.88min",2.95603292938577,2.95603292938577,2.95603292938577,2.95239968988062,2.96228466440117,2.94795295591438,"445"
"453/283.2631mz/7.88min",3.39814308683151,3.45844724263027,3.48027261896465,1.99241234026699,2.00020334578746,1.99212338235371,"453"
"454/378.2088mz/7.88min",3.5873249702177,3.66134231050166,3.63188887946296,2.18159406231757,2.18938507353276,2.18130510418913,"454"
"455/449.1609mz/7.88min",2.74217559814275,2.74217559814275,2.74217559814275,2.7343845831514,2.77098014171318,2.77007307035838,"455"
"458/293.1791mz/7.88min",2.57488707362881,2.57488707362881,2.57488707362881,2.57767122073206,2.57488707362881,2.7415324660277,"458"
"459/351.2504mz/7.88min",3.36182502708626,3.47304731300951,3.50661378505713,1.95609433102623,1.96388533476402,1.95580537318031,"459"
"460/352.3391mz/7.88min",3.63917252770116,3.65913253901197,3.70760815726451,2.2334415951445,2.24123260723,2.23315263698317,"460"
