row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML Peak area,GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML Peak area,GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML Peak area,GF_S4_MC_RCG_2_neg_20210511_Run91.mzML Peak area,GF_S4_MC_RCG_3_neg_20210511_Run171.mzML Peak area,GF_S4_MC_RCG_1_neg_20210511_Run71.mzML Peak area,Unnamed: 19
2148,437.2406370159941,3.3816574,,,,52.0,,,,,,,536839.25,573683.5,523785.66,1280253.2,1380615.1,1399753.2,
2103,437.2767992504389,3.2530919999999997,,,,79.0,,,,,,,1667267.6,1477601.2,1075721.6,796065.25,885487.7,1043054.25,
1957,437.2767991085351,3.1631315,,,,193.0,,,,,,,1634338.1,2080035.2,907971.8,315487.0,279384.56,339347.56,
2253,437.276889224352,3.6185217000000005,,,,,,,,,,,398692.7,559600.4,351863.88,126982.62,133225.62,119259.56,
2363,437.27704542861534,3.872921,,,,12.0,,,,,,,965731.5,1091884.6,773981.2,326786.2,310320.1,304366.78,
2831,437.311831650133,6.3421884,,,,,,,,,,,497782.38,454169.28,498257.3,141789.48,106949.375,113079.695,
3409,437.36350612903647,9.036925,,,,,,,,,,,2621726.2,1594135.6,2268711.5,357734.3,628628.2,1182031.1,
3384,437.36355586036467,8.764553,,,,,,,,,,,126838.914,31550.987999999998,120114.07,0.0,0.0,38597.49,
1002,438.2356430724424,2.1080587000000004,,,,,,,,,,,111252.01,141219.38,224854.67,755629.75,689946.25,755385.2,
2624,438.2607895688041,5.0379024,,,,212.0,,,,,,,262834.44,366045.44,435472.88,204094.34,215692.83,176005.86,
2644,438.2608159035847,5.1158504,,,,44.0,,,,,,,199797.55,364334.28,479649.47,222508.36,245347.44,116768.23,
2779,438.26231067308197,5.9227467,,,,,,,,,,,3936567.8,4324619.0,2980804.8,505688.47,333886.44,362133.78,
2755,438.26232358051834,5.8406715,,,,,,,,,,,1504976.9,45192.2,4907285.5,671396.9,1075244.6,992875.94,
2732,438.26236548677804,5.709417,,,,,,,,,,,0.0,0.0,0.0,107736.54,124368.54,112048.11,
1856,439.21971427143365,3.0032213,,,,36.0,,,,,,,2979732.8,3420552.5,3529891.2,4154446.0,4011179.5,4013692.8,
1187,439.2198678736965,2.331523,,,,134.0,,,,,,,263790.47,270621.72,228048.33,879212.06,898314.6,928500.94,
2393,439.2198906634301,3.9407031999999997,,,,19.0,,,,,,,266011.47,315570.78,407226.88,181528.02,170978.56,129886.19,
3398,439.37919590797117,8.854985000000001,,,,,,,,,,,463545.72,170261.4,338583.62,0.0,20589.172,80502.25,
3448,439.4155298596199,9.565517,,,,,,,,,,,105552.56,46610.953,62248.668,0.0,0.0,0.0,
3463,439.4157688227621,9.750632000000001,,,,,,,,,,,664175.3,239400.83,307745.66,0.0,0.0,0.0,
1625,440.21491735949064,2.7481177000000003,,,,,,,,,,,133931.52,267231.28,328582.5,588222.56,482294.78,393630.38,
1163,440.25137641617135,2.306997,,,,33.0,,,,,,,3468448.2,3812633.0,3656945.8,2080926.8,1900682.1,1877777.9,
2327,440.27649697729936,3.824029,,,,,,,,,,,110844.39,113978.93,147772.28,0.0,0.0,10329.001,
2372,440.276630134645,3.9000225,,,,,,,,,,,389601.0,370746.0,366615.5,28847.35,18462.713,12441.05,
1484,441.19904361581536,2.5815687,,,,18.0,,,,,,,576883.44,272223.28,250818.23,1667451.9,1671206.8,1725639.4,
1340,441.1990850345819,2.5371162999999997,,,,,,,,,,,296342.4,997362.7,1678627.6,113077.75,104474.15,90362.484,
1632,441.1991482006712,2.764459,,,,38.0,,,,,,,674554.9,911749.25,1112926.1,2554646.5,2164803.8,2240071.8,
3187,441.20296956073446,7.985889,,,,,,,,,,,0.0,0.0,85131.93,0.0,0.0,346519.9,
1177,441.25490572606367,2.3084439999999997,,,,,,,,,,,704384.94,741123.1,726962.4,395182.75,313274.28,364028.0,
3159,441.32195637910934,7.721102,,,,,,,,,,,251014.55,232077.47,357067.28,538386.0,400121.28,421563.44,
1214,442.2306256336152,2.3675902,,,,109.0,,,,,,,3616198.0,3853598.2,4074347.5,2808352.2,2704147.0,2819292.5,
1270,442.2306264334139,2.4026422999999997,,,,,,,,,,,2574482.5,3238250.5,4826894.5,2901238.0,2914340.2,2815391.8,
1144,442.2306667430304,2.2999122000000005,,,,83.0,,,,,,,3418579.8,4008030.2,4853759.0,3467074.0,3158229.2,3401788.5,
2985,443.2104586637832,7.4183259999999995,,,,57.0,,,,,,,223156.17,259488.7,357507.0,265615.0,307393.22,307485.56,
1697,443.2143601731135,2.8449419999999996,,,,24.0,,,,,,,262262.25,278612.6,739547.1,853033.7,620415.56,592845.4,
1184,443.2338558582594,2.2991202,,,,,,,,,,,682794.5,746078.6,1455990.2,722003.94,627611.0,650933.56,
3145,443.31646008285765,7.695112,,,,,,,,,,,195988.53,151567.92,186820.08,178895.78,243081.52,287806.5,
2995,443.31649282888816,7.4461436,,,,,,,,,,,200435.25,176063.52,245705.69,204462.88,218606.81,218212.98,
2949,443.31661717867365,7.1778398,,,,,,,,,,,76680.32,82021.51,108127.13,91636.72,74901.99,63086.812000000005,
1967,444.18096856628097,3.1593826000000003,,,,60.0,,,,,,,3332464.8,4511700.5,1941428.6,3214328.8,3025545.0,2561124.5,
887,444.2097670273441,1.9397613999999999,,,,,,,,,,,0.0,110472.45,177143.02,1783276.5,1466752.2,1630110.0,
