row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,NEG_TJGIp3_1_Run56.mzML Peak area,NEG_TJGIp3_3_Run174.mzML Peak area,NEG_TJGIp3_2_Run138.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,Unnamed: 19
166,134.0472440147744,1.0518066000000001,,,,,,,,,,,90352.84,196498.23,233594.16,319081.66,898237.4,152750.3,
1668,134.8945971640461,7.789737,,,,181.0,,,,,,,5606497.0,9241190.0,9716850.0,5456991.0,8188180.5,6931130.5,
1433,134.89459946642395,7.451763000000001,,,,23.0,,,,,,,8984110.0,8891684.0,9602382.0,2781154.0,7261313.5,9904193.0,
2010,134.89462202251585,10.180071,,,,96.0,,,,,,,3805628.5,4752129.5,11052128.0,4128194.5,2906080.5,16043654.0,
2054,134.89462702248886,10.265975,,,,14.0,,,,,,,1451355.4,895116.75,1025297.3,1419856.5,1496614.2,880143.7,
2007,135.97088740339467,10.16296,,,,,,,,,,,851320.8,537920.5,478866.6,664436.8,525995.06,451683.78,
317,136.04035672036377,3.0529945,,,,,,,,,,,132560.6,137920.12,162333.42,164760.11,178528.23,156666.95,
209,136.04036074807178,2.4085662,,,,,,,,,,,399410.94,460758.78,452501.25,425597.22,354271.1,472529.47,
142,138.01962972447802,0.8150162,,,,,,,,,,,253472.06,150572.56,272982.75,196682.55,473173.6,232919.2,
360,138.0196692674197,3.3237522000000004,,,,,,,,,,,935043.1,885026.25,1265710.9,1356465.9,1399146.6,1110769.4,
474,141.09211728376798,3.9490550000000004,,,,,,,,,,,258584.31,384088.78,614371.56,663957.7,914130.5,426432.84,
457,141.09212237073382,3.8344383,,,,73.0,,,,,,,266442.44,310088.8,516333.34,584033.5,796034.5,404515.22,
202,144.04546010864047,2.3500259999999997,,,,,,,,,,,914013.1,1529922.9,988927.7,962837.25,837929.56,1134322.8,
406,144.0454614004779,3.5543468000000003,,,,,,,,,,,22764.494,152102.0,0.0,121928.695,141722.77,108295.12,
350,144.04547077350227,3.2737700000000003,,,,37.0,,,,,,,411905.53,671242.5,491988.88,488600.78,473420.25,619315.8,
147,144.04550667195392,0.80328196,,,,,,,,,,,3222.982,134635.94,3308.761,14351.535,3455.9277,3509.4343,
149,144.06657964427714,0.8500535,,,,93.0,,,,,,,2285624.2,1367193.9,2127389.8,2009768.8,2668373.0,1767067.9,
184,144.06662233631633,2.1418326000000003,,,,105.0,6.0,[M-H2O+NH4]+,,2.0,185;184,144.04334,4786195.0,4937351.0,6034964.0,6783970.5,6764140.5,5394218.5,
2014,144.92335185204925,10.204903999999999,,,,30.0,,,,,,,2034169.1,1370930.8,1399423.8,2130198.8,1696755.0,1407476.2,
1634,144.92335400502208,7.706430999999999,,,,85.0,,,,,,,1025327.2,6305928.0,6790833.0,2334182.2,8479944.0,4638454.0,
1866,144.92336083176716,8.276408,,,,,,,,,,,6127212.5,4835214.0,21184176.0,6447239.0,2460568.2,4701295.5,
1814,144.92336706821231,8.13715,,,,4.0,,,,,,,35548064.0,2509705.0,2439130.2,25192040.0,15919845.0,22139138.0,
185,145.05058524138917,2.1418326000000003,,,,105.0,6.0,[M+H]+,,2.0,185;184,144.04334,1365864.5,947109.44,1279778.9,1531539.6,1223509.0,1459906.6,
108,146.0457757298681,0.4620236,,,,,,,,,,,2661206.0,11798043.0,14214548.0,15274665.0,22156234.0,12365331.0,
49,146.04577825108316,0.3800644,,,,12.0,,,,,,,27010150.0,19237110.0,33459484.0,22572718.0,24080826.0,18979756.0,
1148,146.04582765017628,6.576186999999999,,,,21.0,,,,,,,114036.51,71131.98,118121.234,126618.875,140965.89,83563.516,
2088,146.9612003691683,10.581161999999999,,,,,,,,,,,1767816.4,728345.1,698501.94,1703146.4,833179.4,621077.25,
75,147.029780535601,0.39538690000000004,,,,12.0,5.0,[M+H]+,,2.0,75;68,146.02253000000002,1165531.8,616247.3,1532003.8,1015600.9,855519.25,914566.75,
2005,150.8894685427019,10.1548,,,,,,,,,,,196027.66,269076.34,1661254.2,224827.22,194856.45,2559470.0,
66,151.0259951109048,0.38531336,,,,12.0,4.0,[M+H]+,,2.0,66;59,150.01912,1277824.6,1712049.8,1588432.2,1282917.9,1820385.2,1555524.9,
119,151.02604974560552,0.6268089,,,,78.0,,,,,,,2222008.8,1858820.4,2358905.2,1934089.2,3433994.8,2237127.8,
500,151.02612728699737,4.0769687,,,,19.0,,,,,,,148572.16,197108.16,193906.06,239207.14,266787.1,215534.12,
418,151.02614876449147,3.6303663,,,,,,,,,,,55784.07,84923.49,132475.69,155081.19,174726.3,112703.67,
247,151.04005027623433,2.7635996,,,,,,,,,,,289071.16,361607.84,447681.75,387375.47,409039.06,379430.2,
2058,153.8685269134511,10.309268,,,,,,,,,,,886027.9,367751.7,181058.05,757872.3,625574.7,71983.52,
7,154.0620925707774,0.3506671,,,,5.0,,,,,,,368514.12,95064.84,326131.62,199383.38,373253.34,170585.28,
65,155.00974058263068,0.3800693,,,,12.0,,,,,,,270516.62,455830.56,387167.3,625625.2,673711.56,857380.6,
425,155.1077613140865,3.6920282999999996,,,,52.0,,,,,,,1439179.2,1399144.2,2172769.5,1955975.0,1907400.0,1977831.8,
554,155.10778254429604,4.395217,,,,,,,,,,,0.0,0.0,27079.292999999998,27268.832000000002,63922.56,10620.56,
377,156.06665199039819,3.4229078,,,,34.0,,,,,,,59039.203,69837.29,52503.418,70950.24,45169.94,68771.9,
460,156.0666526311966,3.8416233,,,,,,,,,,,129001.92,124895.945,120688.625,124882.46,78227.57,153856.88,
400,156.0666532874482,3.4925879999999996,,,,,,,,,,,38687.24,55934.93,58635.15,62641.453,47052.684,47411.84,
175,156.0666994560683,1.9587778999999998,,,,139.0,,,,,,,2208720.2,2073524.9,2326662.0,2541876.0,2748601.8,2373655.0,
405,156.10294755334542,3.550989,,,,,,,,,,,491333.06,511039.0,544818.4,565824.44,579366.0,721300.06,
38,157.03656318396403,0.37329504,,,,12.0,,,,,,,1608280.9,590480.6,785674.94,719817.25,1358926.5,153503.52,
225,157.0869757105837,2.5905009999999997,,,,125.0,,,,,,,98501.49,159542.14,404001.7,250782.64,388821.5,247776.72,
348,157.086999012367,3.2616723,,,,141.0,,,,,,,232203.8,318869.2,601996.25,631840.4,752653.4,421119.7,
375,157.0870017686517,3.4165687999999994,,,,,,,,,,,59613.797,93999.54,114955.805,168867.81,189729.45,85784.16,
1462,158.0821429614833,7.5667214000000005,,,,,,,,,,,216933.92,196948.02,295045.94,354804.9,329792.2,228795.88,
242,158.08221467422942,2.7252083,,,,91.0,,,,,,,9436480.0,8738520.0,11276787.0,11963436.0,11757955.0,10356726.0,
268,158.08223060730168,2.8116798,,,,135.0,,,,,,,14843354.0,13992656.0,17772184.0,19182152.0,18801210.0,16140113.0,
205,158.08223580516753,2.3708584,,,,89.0,,,,,,,1912167.6,1765233.9,1950474.0,2086085.8,1715877.0,1828318.2,
173,158.08224561995874,1.9424673,,,,102.0,,,,,,,5716461.5,6179436.0,10210872.0,5048876.0,5231203.0,7291374.0,
171,158.0822517488057,1.3866433999999999,,,,,,,,,,,1335027.0,1539494.4,2519124.0,3692662.0,3884123.2,1797967.0,
172,159.08551416479798,1.9415215000000001,,,,102.0,,,,,,,146889.14,156225.27,464644.9,305915.84,418571.72,229939.1,
445,159.10264424189631,3.7887142,,,,,,,,,,,72790.49,152849.64,154526.39,113753.51,156511.72,143360.23,
499,159.10265107631702,4.071432,,,,19.0,,,,,,,530114.7,607989.5,811705.25,855860.1,894751.0,814895.4,
329,159.10266443645858,3.1542737,,,,,,,,,,,23788.766,44134.027,86790.87,132352.64,100514.29,57385.95,
336,160.04041397362724,3.1951706000000004,,,,165.0,,,,,,,940915.6,1587384.2,1360036.8,1437374.8,1463482.9,1481933.2,
62,160.06140399936206,0.38381025,,,,12.0,,,,,,,4190333.0,1945896.5,3112636.2,3210259.5,2712635.2,1682205.9,
121,160.06145582555186,0.63045603,,,,78.0,,,,,,,2813109.8,2076312.1,3288501.0,2815112.0,6271575.5,3025843.8,
2078,160.84203373416742,10.437930999999999,,,,,,,,,,,1420206.0,689713.25,659950.44,587483.44,315133.56,672420.56,
2084,160.84203590507062,10.485913,,,,177.0,,,,,,,930594.6,1035470.6,1982579.8,434615.66,362772.0,1994411.2,
137,161.0454938713459,0.7585593,,,,107.0,,,,,,,3029013.8,1765836.8,3158274.2,2717056.2,3511435.2,2629866.0,
2072,162.83906890224003,10.427096,,,,,,,,,,,1345470.9,618858.56,449850.53,566875.4,126959.78,495091.2,
2082,162.83908499407246,10.47743,,,,177.0,,,,,,,976841.3,983754.06,1761020.0,424263.5,337287.4,1825163.9,
80,163.06109463660908,0.38763586,,,,12.0,,,,,,,2030743.2,406882.3,833589.75,783889.75,2278242.5,605253.8,
319,164.03535072869408,3.0513027000000004,,,,174.0,,,,,,,2127112.2,2246296.0,2637780.0,2500375.5,2845562.8,2494853.0,
354,164.03535863616182,3.2876256,,,,,,,,,,,145517.1,119252.94,163043.56,207074.56,177526.72,176618.58,
314,165.05562884867123,3.021186,,,,35.0,,,,,,,458807.0,654854.56,858049.6,752099.56,885160.06,707749.1,
494,165.05566812391658,4.044785,,,,170.0,,,,,,,706354.5,514503.47,305935.12,346994.9,354231.75,775749.44,
545,165.12842328167787,4.3371900000000005,,,,83.0,,,,,,,285262.94,324009.2,474085.4,627084.2,424771.97,396584.75,
688,165.12845876066484,5.1142707000000005,,,,138.0,,,,,,,22311.404,28631.475,98033.94,89814.15,166268.7,51711.5,
565,167.0349769186516,4.5048699999999995,,,,,,,,,,,279383.28,121346.08,304870.34,374715.25,228184.81,275955.1,
294,167.0349986779783,2.9235084,,,,,,,,,,,104944.2,51169.57,89567.59,146046.42,108979.96,111170.18,
253,168.03013296532848,2.7605470000000003,,,,131.0,,,,,,,479714.5,297372.06,359610.16,455322.3,423668.56,413154.28,
23,168.03347094566578,0.36654195,,,,12.0,,,,,,,2399185.5,3683361.2,3312897.5,3602879.8,2489727.0,3655440.8,
72,168.06646662764726,0.38380465,,,,12.0,,,,,,,965948.5,181366.0,630669.44,905663.94,1800834.4,577553.44,
122,168.06654244339606,0.63022965,,,,,,,,,,,565002.7,200679.83,536968.4,524453.6,1123766.5,386843.25,
22,169.06172824216293,0.36652946,,,,12.0,,,,,,,929304.7,888407.8,751054.7,720417.7,956992.8,898553.6,
32,171.00629451915725,0.36799017,,,,12.0,,,,,,,808951.0,249981.7,949679.0,275848.9,1066122.5,281691.28,
159,171.06632250523452,0.9462431,,,,,,,,,,,60061.617,66283.766,318039.56,122938.836,349908.94,100887.9,
343,171.0663368466519,3.232295,,,,,,,,,,,220412.53,231234.52,429035.38,418972.84,771203.7,309607.75,
440,171.10268140073714,3.7536485,,,,26.0,,,,,,,5694943.0,6747277.0,11644022.0,13506745.0,11835973.0,7444214.0,
