row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp1_3_Run186.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGIp1_2_Run100.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,NEG_TJGIp1_1_Run35.mzML Peak area,Unnamed: 19
2094,383.3529642760151,10.838025,,,,,,,,,,,84270.23,290401.38,4746.4404,19264.535,144299.72,425122.34,
1962,383.3530341522495,9.264906,,,,,,,,,,,0.0,223350.44,57627.17,68800.414,45051.53,22343.438,
1703,383.3530983473431,8.091648,,,,83.0,,,,,,,1918213.1,3789391.5,3515985.5,3317481.5,3534455.2,2504006.5,
1929,383.35315641759684,8.797921,,,,89.0,,,,,,,4729263.0,10825856.0,8131537.5,7410045.0,9847470.0,7207846.0,
1364,384.31183791874537,7.459689999999999,,,,69.0,,,,,,,1279521.6,1713368.9,1636483.1,1719334.4,3051289.8,2534894.8,
459,385.2595700457359,5.1257195,,,,112.0,,,,,,,411643.12,394723.25,422087.25,460508.47,579357.1,636136.7,
599,385.27082685733336,5.5982709999999996,,,,62.0,,,,,,,2801630.5,3778969.5,2888768.8,4364790.0,5180401.5,4306828.5,
1841,385.3323164973983,8.247558,,,,,,,,,,,569402.7,1229833.0,828677.5,1131102.6,675358.7,552936.3,
49,387.11424615579557,0.46450964,,,,,,,,,,,908251.25,896413.9,986670.94,910674.0,687292.8,845051.2,
1434,387.1628456680841,7.6664786,,,,32.0,,,,,,,469722.22,609368.56,630326.94,549124.06,1292562.2,922131.9,
455,387.2500333443308,5.109942,,,,109.0,,,,,,,513424.7,798430.25,525725.7,942323.3,1343012.1,877067.44,
1435,389.1599296206359,7.6664786,,,,32.0,,,,,,,440715.22,579347.9,593244.75,530602.75,1205669.6,906442.3,
