"","filter","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_S4_MC_RCG_1_neg_20210511_Run71.mzML","GF_S4_MC_RCG_2_neg_20210511_Run91.mzML","GF_S4_MC_RCG_3_neg_20210511_Run171.mzML"
"3427/397.3688mz/9.26min",11379.6282,18966.047,93410.53,52783.188,3793.2094,3793.2094,3793.2094
"3428/383.3532mz/9.24min",31260.41445,58919.656,201840.83,133034.9,3601.1729,3549.686,709.9372
"3429/563.3358mz/9.26min",138039.285,81757.78,138809.19,144929.72,16351.556,394059,137269.38
"3430/604.4622mz/9.28min",507214.56,559026.9,163526.55,6383930,32705.31,1044678.56,455402.22
"3433/713.4764mz/9.28min",630052.025,605725.3,385723.97,696238.25,826687.6,654378.75,263981.7
"3434/729.4714mz/9.26min",14480.031,2823889.5,22035.527,7638143,1384.907,1384.907,6924.535
"3436/610.5053mz/9.37min",1880573.25,1455559.5,3123080.5,2305587,3243519.5,1278298.4,967945.2
"3437/570.5104mz/9.37min",1189856.15,1123069.2,1476834.8,1256643.1,1391730.5,842765.44,607962.9
"3438/604.507mz/9.39min",467900.72,397391.88,1088880.8,538409.56,1058493.6,175444.92,131211.53
"3439/614.5366mz/9.39min",2211022.1,2006060.4,2934003.2,2415983.8,2681221.5,1382934.9,1198408.2
"3440/681.5424mz/9.39min",325740.185,253745.25,538350.6,375191.97,754571.06,276288.4,212841.38
"3441/631.5268mz/9.41min",817119.8,606300.1,2055667.1,1027939.5,1873768.2,301527.2,244889.1
"3442/600.5214mz/9.44min",202713.89,180190.11,271619.06,225237.67,260406.66,76592.39,62228.78
"3443/425.4mz/9.47min",556421.72,935750.44,2200320,1221316.9,177093,120834.64,80660.875
"3444/283.2641mz/9.51min",50045.36,41853.59,71591.44,58237.13,59938.65,21614.125,8925.119
"3445/481.4261mz/9.51min",124866.895,112329.37,194692.39,153542.94,137404.42,75475.85,57676.305
"3446/580.4948mz/9.51min",531454.65,439295.6,909076.8,623613.7,907765.7,401245.22,294314.47
"3448/439.4155mz/9.57min",27966.5718,46610.953,105552.56,62248.668,9322.1906,9322.1906,9322.1906
"3449/106.0411mz/9.59min",35483.255,4145.9062,335291.03,44985.67,7358.0957,25980.84,67744.84
