Filename,POS_D5-Ctrl-a-P-EAMeOH_Run28.mzML,POS_D5-Ctrl-b-P-EAMeOH_Run31.mzML,POS_D5-Ctrl-c-P-EAMeOH_Run34.mzML,POS_D5-211-C1-a_Run91.mzML,POS_D5-211-C1-b_Run94.mzML,POS_D5-211-C1-c_Run97.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
871/433.3072mz/8.22min,299980.8,343742.34,277026.66,163210.77,122780.78,236384.08
873/797.6621mz/8.23min,303290.66,331960.12,217739.11,0.0,10433.914,81268.21
874/617.4169mz/8.29min,267433.97,325185.1,317589.84,444877.97,380770.88,764905.4
875/312.3257mz/8.32min,170858.03,158709.67,154776.4,427336.5,260519.89,244784.81
876/321.315mz/8.35min,133603.6,205290.45,169656.77,605268.7,496526.3,337898.06
877/339.3447mz/8.35min,3866498.8,5363545.0,4451162.5,13625053.0,12154334.0,8187524.5
878/675.6752mz/8.35min,97978.63,204675.25,135692.6,1149143.8,861871.9,410814.9
879/338.3415mz/8.35min,17052140.0,23404822.0,19722172.0,59924410.0,50317570.0,35962612.0
883/149.0233mz/8.37min,240187.1,225338.06,227346.61,373378.47,389872.03,370087.2
884/391.284mz/8.37min,779391.6,685984.9,707835.1,1142477.6,1126961.5,1083127.4
885/413.2656mz/8.37min,4016591.5,3518969.0,3468238.8,4226754.5,3805763.2,4252103.5
887/647.4273mz/8.38min,152842.73,190787.23,215770.02,345324.03,307223.44,454108.94
889/371.3151mz/8.39min,180042.25,171518.06,187774.03,4891160.0,4977896.0,5166060.5
890/763.6052mz/8.39min,0.0,0.0,0.0,1658726.1,1595106.8,1909494.8
891/393.2971mz/8.39min,2672536.2,2712605.5,2819322.8,38335496.0,36115884.0,40058760.0
892/349.321mz/8.41min,483980.44,529570.56,671452.56,1619193.6,1252799.8,1416737.9
893/312.3257mz/8.43min,405917.1,532440.25,422238.8,215178.02,224964.88,241176.7
896/832.2398mz/8.51min,484227.12,303309.7,421875.56,1949351.6,2172921.0,2033774.5
898/707.1683mz/8.51min,69047.695,60445.99,67282.83,986013.5,1103084.5,1114763.4
899/702.2129mz/8.51min,45401.49,37555.59,43423.824,761966.94,835106.1,872712.7
903/645.5421mz/8.54min,317318.6,310332.56,97704.72,1656397.2,481434.62,537360.5
905/352.339mz/8.52min,4134983.5,5022207.0,4422322.5,5000865.0,4932399.5,4880758.0
907/213.9828mz/8.51min,133912.88,379608.8,352731.5,1263489.4,996075.75,1126168.5
908/172.9563mz/8.51min,670078.4,660962.1,647672.9,2194392.5,794086.2,1458419.2
909/851.7092mz/8.61min,3969065.2,3520763.0,4238481.0,2613839.2,251862.66,2543320.8
910/717.5049mz/8.58min,329763.2,287023.84,254718.62,311443.06,322412.2,339520.2
