"","filter","2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML","2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML","2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML","2024_NEG_Anid-p4_1_Run186.mzML","2024_NEG_Anid-p4_2_Run195.mzML","2024_NEG_Anid-p4_3_Run224.mzML"
"447/359.1094mz/2.69min",296216.13,116321.51,297044.88,33867.535,1200107.2,376207.28,295387.38
"448/287.1248mz/2.71min",255404.825,172434.27,338375.38,511912.5,617188.4,158201.08,101765.83
"449/246.0983mz/2.68min",325774.18,61566.723,41433.24,512040.56,488868,405982.28,245566.08
"450/180.0666mz/2.68min",145129.86,103645.36,242496.78,97754.234,68807.164,186765.42,186614.36
"451/296.0776mz/2.69min",51138.567,129788.99,257848.83,16325.84,3679.5876,32378.65,69898.484
"452/373.0055mz/2.7min",829003.5,969970.1,735577.25,692838.56,792753.2,865253.8,966261.7
"453/159.0662mz/2.7min",187789.945,136588.67,183658.61,191921.28,209797.92,161069.98,210331.64
"455/250.0721mz/2.7min",63796.097,31239.684,11947.52,152743.05,203708.05,96352.51,16668.451
"456/327.1199mz/2.7min",3471904.5,3898781.5,5389356,3322820.8,3506654.2,2914663.5,3437154.8
"457/376.1034mz/2.7min",66719.381,16891.855,3378.371,113033.664,128867.39,111213.44,22225.322
"458/328.1235mz/2.7min",504101,558544.56,797503.9,490661.22,488939.1,434769.38,517540.78
"459/247.0724mz/2.71min",223116.35,35003.156,42570.715,469506.84,307226.25,371542.22,139006.45
"461/241.0717mz/2.72min",56367.301,11223.9984,11223.9984,319745.88,56119.992,123329.34,56614.61
"462/298.093mz/2.72min",117874.855,13234.028,172657.05,891139,63092.66,207720.28,11088.925
"464/240.0514mz/2.73min",1986333.5,1125585.6,929743.4,1536403.8,3776221.8,3614299.2,2436263.2
"466/329.099mz/2.73min",42858.233,34212.65,28072.994,3896.0596,142480.19,51503.816,54857.61
"467/229.1193mz/2.73min",222945.43,137092.17,194375.33,339243.28,285067.6,251515.53,21909.48
"468/282.0984mz/2.72min",1081866.025,1821966,2161941.8,1013653.25,733000.9,515714.25,1150078.8
"469/344.1824mz/2.74min",288263.7,216476.12,309652.34,627292,266875.06,402584.66,222870.67
"470/280.119mz/2.73min",101006.89,848.60528,4243.0264,51485.86,434805.28,150527.92,307359.84
"471/265.083mz/2.74min",86655.91,109286.27,129212.99,88439.65,84872.17,75844,78091.55
"472/309.1093mz/2.74min",1182918.8,1263223.8,1524504.4,1194366.8,1171470.8,956081.6,991157.06
"473/196.0615mz/2.73min",988165.08,913645.56,754907.5,650144.6,1352816.9,1202002.4,1062684.6
"474/241.1194mz/2.74min",285251.81,275695.56,294808.06,371771.12,390189.47,267087.28,138142.17
"477/167.0349mz/2.75min",13258.5878,4193.218,3647.3013,168302.69,4382.4336,22134.742,46503.836
"478/254.1034mz/2.75min",586946.95,691914.75,924063.8,625313.6,548580.3,502368.8,498630.8
"479/313.1042mz/2.78min",68225.9465,134707.9,185075.55,20536.934,27550.031,39107.543,97344.35
"480/306.0985mz/2.77min",112728.39,244503.05,145499.02,79957.76,5258.2336,26291.168,272365.06
"482/377.1348mz/2.77min",9692.0968,9692.0968,9692.0968,9692.0968,446403.75,48460.484,9692.0968
"484/239.056mz/2.76min",194931.41,13874.794,5266.5576,746304.3,117466.76,272396.06,840923.7
"485/240.0877mz/2.78min",979027.5,827508.94,985863.9,1367967,972191.1,1258573.1,911738.2
"486/163.0435mz/2.79min",564593.625,210497.69,181602.66,1758099.2,918689.56,1328689.8,194066.89
"487/301.1407mz/2.79min",144655.75,49897.742,66557.48,538779.7,633854.7,222754.02,25562.979
"488/157.0506mz/2.79min",3301789.15,2438238.5,2596193.5,4519992.5,5013273,4007384.8,2398018
"489/204.0302mz/2.8min",72094.66,133677.3,192951.66,28185.344,5637.0688,46244.63,97944.69
"490/113.0609mz/2.79min",357890.32,273461.72,273599.2,502257.97,569046.44,442181.44,204010.12
