"","filter","POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML","POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML","POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML","POS_TJGIp3_1_Run40.mzML","POS_TJGIp3_2_Run126.mzML","POS_TJGIp3_3_Run164.mzML"
"1587/372.3469mz/6.4min",575481.84,770346.3,2505900.5,380617.38,1177903.4,315143.72,114964.32
"1588/458.3259mz/6.39min",161712.61,278695.25,374207.53,141404.84,176541.47,146883.75,84725.625
"1591/295.2265mz/6.36min",1553997.6,1691256.9,1573154.2,1736634.5,1502649.5,1427884.4,1534841
"1593/480.3082mz/6.36min",1254379.4,1315871,1192887.8,1423943.4,1068583.8,1168277.8,1342020.5
"1594/452.3211mz/6.36min",385719.64,741454.4,399070.75,314195.16,640973.75,372368.53,362095.28
"1595/457.2769mz/6.36min",455464.35,298199.84,439462.7,567116.75,325043.72,471466,519657.22
"1596/277.2159mz/6.36min",853235.85,990751.7,837461.5,869010.2,1162248,744252.44,777962.06
"1597/365.1356mz/6.37min",897316.175,611386.1,977685.6,1262072.9,606794.94,816946.75,1000303.9
"1598/163.0753mz/6.37min",1216411,1614675.2,1242668.4,1190153.6,1389580.8,980145.75,1063455.4
"1602/485.4311mz/6.35min",1318171.625,30361.28,247868.75,3229210.5,7082.6035,2388474.5,2876855.5
"1604/378.7494mz/6.41min",298515.955,235205.81,282348.47,314683.44,250169.31,371828.97,413354.88
"1607/387.7547mz/6.46min",617931.75,297719.7,368869.4,750423,664648.9,571214.6,703331.8
