"","filter","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_PF_MC_RCG_1_neg_20210511_Run79.mzML","GF_PF_MC_RCG_2_neg_20210511_Run97.mzML","GF_PF_MC_RCG_3_neg_20210511_Run198.mzML"
"3228/435.2517mz/7.68min",59425.484,604808.56,74925.945,25565.14,182719.17,23993.137,43925.023
"3231/355.1583mz/7.69min",5847586,4601820,5685776.5,5665605,9502517,6009395.5,6041281.5
"3233/114.9341mz/7.69min",2838625.15,2337688.2,2751469.8,2943546.8,2954853.8,2723785.5,2925780.5
"3234/419.1082mz/7.69min",319431.83,200757.89,237903.48,336883.28,425973.88,301980.38,473321.9
"3235/421.1052mz/7.69min",424125.29,253550.97,320348.44,450384.38,571820,397866.2,601868.56
"3236/285.2071mz/7.69min",336413.29,215809.73,346249.28,326577.3,404446.75,313993.84,363013.62
"3238/467.2775mz/7.68min",486709.26,792713.4,241465.27,751232.1,3270.8604,731953.25,150625.16
"3239/118.9268mz/7.69min",1512070.5,1216487.1,1458561.2,1695729.1,1709378.4,1279279.1,1565579.8
"3242/327.2904mz/7.69min",11492090.5,8525813,10654043,12037253,13082623,10946928,13664513
"3244/321.2104mz/7.69min",345444.39,776165.1,196634.78,100256.26,20051.252,506240.12,494254
"3246/473.2823mz/7.69min",7249968.5,10095334,2977614.2,5393519,595522.84,13158456,9106418
"3250/323.2591mz/7.7min",1332212.65,883371.1,1175408.9,1588887.8,1406052.1,1258373.2,1443019.2
"3252/443.3165mz/7.7min",191404.305,151567.92,195988.53,186820.08,198418.06,164021.88,363031.25
"3253/439.3423mz/7.7min",120177.35265,762.58106,762.58106,3812.9053,261896.44,236541.8,369977.28
"3255/132.9234mz/7.7min",1351254.25,1127259.9,1307456.4,1400259.5,1575157,1133115.6,1395052.1
"3257/144.9234mz/7.71min",5875841.25,5759917,5785280.5,8345768,5966402,5452634,8257856.5
"3261/459.3116mz/7.71min",1173139.78,927769.06,871242.7,1418510.5,860896.9,1513365.5,1883407.8
"3263/115.9207mz/7.72min",32945508,38329424,29646234,30980976,31375780,34515236,43504492
"3264/113.9262mz/7.72min",1587442.8,1932085.8,1536486,1565789,1609096.6,1447136.6,1624344.6
"3265/371.3165mz/7.72min",312648.61,208654.56,292595.34,332701.88,340743.3,286287.7,339458.9
"3268/463.3429mz/7.71min",173006.065,80624.61,74373.83,234834.75,111177.38,359987.06,521082.84
"3269/637.4331mz/7.74min",79124.977,99608.29,143238.36,131320.02,58641.664,9156.193,23781.438
"3270/473.3261mz/7.72min",129407.4575,7066.1997,114131.945,94074.51,304013.9,144682.97,236125.95
"3273/160.9354mz/7.73min",222983.345,276764.47,90457.94,233780.42,1047131.9,212186.27,68628.97
"3274/134.8946mz/7.75min",8561527.75,8013436.5,11290804,10858834,3948784.2,6788340,9109619
"3276/425.3635mz/7.73min",281936.48,156106.94,484771.56,324125.9,239747.06,187382.94,386779.53
"3277/461.3635mz/7.77min",120308.68,66478.02,104974.05,80504.22,331678.25,138959.1,135643.31
"3278/381.1738mz/7.79min",209132.51,201746.69,183669.77,336224.56,877298.1,155785.44,216518.33
"3279/397.3321mz/7.81min",1470102.85,1203114.9,1424807.2,1515398.5,1866848.5,1369485.1,1660970.8
"3281/382.3417mz/7.82min",50649.246,3322.5989,20871.828,20392.26,80426.664,90400.445,213285.7
"3282/381.3373mz/7.82min",314096.385,84911.77,146205.36,159852.39,472720.78,468340.38,982709.94
"3285/313.2748mz/7.87min",420387.125,373427.78,451148.72,486683.47,389625.53,335602.97,472004.44
"3286/134.8946mz/7.81min",6161697.25,7274173,5465326.5,6565584.5,14216603,5757810,5683534
"3288/480.3094mz/7.8min",2468240.15,6309818,2912982.5,4296481.5,129143.28,2023497.8,645716.4
"3289/469.2627mz/7.88min",36092.2405,12221.865,34247.887,37936.594,157048.55,17224.652,39510.68
"3290/370.3406mz/7.88min",317829.53,301358.53,332498.5,326065.44,414707.62,255938.28,309593.62
"3291/369.3372mz/7.88min",1348693.9,1239236.2,1399158,1400571,1725218.9,1080127.1,1298229.8
"3292/327.2904mz/7.94min",330612.065,213316.55,458937.47,488938.8,434803.6,156625.81,226420.53
"3293/637.4325mz/7.92min",277489.645,239711.81,297610.56,333319.34,436558.28,81613.58,257368.73
"3294/469.332mz/7.92min",63221.212,601787.6,316106.06,63221.212,63221.212,63221.212,63221.212
"3295/580.2348mz/7.9min",412390.11,1621473.9,448576.47,606951.94,8811.8124,376203.75,44059.062
"3296/654.4043mz/7.94min",77269.275,25756.425,25756.425,25756.425,431491.7,128782.125,156265.08
"3298/554.4789mz/7.94min",371571.125,38616.977,110295.75,58722.79,1861697.4,632846.5,1313591.5
"3299/714.5085mz/8.01min",370484.67,65239.887,374585,487321.53,13047.9774,22016514,366384.34
"3300/814.4333mz/7.94min",680639.24,680639.24,680639.24,680639.24,680639.24,3403196.2,680639.24
"3301/353.2697mz/7.99min",607711.22,450958.94,506518.9,563019,928626.56,652403.44,923886.44
