"MetaboAnalyst_ID","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_PF_MC_RCG_1_neg_20210511_Run79.mzML","GF_PF_MC_RCG_2_neg_20210511_Run97.mzML","GF_PF_MC_RCG_3_neg_20210511_Run198.mzML","shared_name"
"2640/437.1635mz/4.92min",2.69282370477664,2.44123378131267,2.54553061057203,2.85927442177964,2.73600489827172,2.63127953467728,"2640"
"2641/401.1869mz/4.92min",2.89037154422601,2.75546521508378,2.95752176604315,3.20957181339251,3.21686617917161,3.12841381713606,"2641"
"2642/447.1923mz/4.92min",2.56938895961754,2.42659706441939,2.65855835701423,2.91476772100811,2.93069584941112,2.83862523527597,"2642"
"2644/313.2384mz/4.92min",2.97822175998723,3.00228235468179,3.08862819565199,3.33765505899413,3.38800435026205,3.33812372374922,"2644"
"2645/540.3039mz/4.93min",1.80693982728531,0.827902072808834,2.03541703857812,3.02229527266173,2.97651240502809,3.14679073405338,"2645"
"2649/269.1758mz/4.94min",2.20518106623207,1.9146650567406,2.53879293199035,2.87018780637853,3.07140059084396,3.08706069111881,"2649"
"2656/187.1339mz/4.97min",2.46494747532289,2.3002133629906,2.52324019986378,2.76866681313304,2.81060954299266,2.81279435554367,"2656"
"2658/311.1865mz/4.98min",3.42501128656402,3.22361911962708,3.50942468334812,3.86601147193813,3.91765975935222,3.90147063883035,"2658"
"2659/312.1897mz/4.98min",2.66543482088677,2.46634167330372,2.75311883382963,3.11652822865977,3.04651641177959,2.88938966577088,"2659"
"2660/312.2261mz/5.0min",2.88184671923272,2.70626890776672,2.94596277292983,3.33637398540341,3.3458267067742,3.33912928286266,"2660"
"2663/311.2227mz/5.0min",3.65866965279284,3.48087799611045,3.73848338924738,4.05569954872671,4.10300557782649,4.04571900659678,"2663"
"2664/410.2005mz/5.06min",2.39846760350261,1.99429424998899,2.55138034997605,2.72410082227629,3.01174417377627,3.09039504388547,"2664"
"2666/426.9677mz/4.98min",4.23262139611685,4.09464425972417,4.30206999504605,4.45190910468948,4.4522489445205,4.43428879132616,"2666"
"2667/285.2071mz/5.0min",2.06601829130923,1.95535422136107,2.60019954964775,3.02526138726015,3.02004873790282,2.99674370813291,"2667"
"2670/341.2079mz/5.01min",3.33755207947223,3.10741503171472,3.47726688349267,2.81288027747639,2.85954336870754,2.75332350108371,"2670"
"2672/267.1602mz/5.03min",2.46021877490863,2.46285580300549,2.50398296481997,2.75374608157859,3.00152768921143,2.89083033869662,"2672"
"2673/257.1759mz/5.04min",2.57709082714882,2.33229040597631,2.8363355902728,3.18290340144322,3.32799156373164,3.31742619561554,"2673"
"2675/310.2107mz/5.05min",2.60403663786672,2.42235882502633,2.6576911206961,3.11049349225131,3.13105781070684,3.15457565852497,"2675"
"2678/309.2071mz/5.05min",3.60643314928686,3.47481855054801,3.66384210566904,3.80354501653843,4.07325621203298,3.80882698003069,"2678"
"2691/201.1496mz/5.12min",2.64597082971998,2.47341678738235,2.71413009808512,2.95545799693251,3.20740875152198,3.1412888783644,"2691"
"2694/293.1759mz/5.12min",3.65790791530572,3.43134007056244,3.94495689762568,3.97305576114995,4.00505058769945,3.86293861763579,"2694"
"2695/236.1053mz/5.12min",2.70412540610856,2.47687652203064,2.99687174279254,3.00612683136184,3.03844873976369,2.88669543946158,"2695"
"2698/327.2177mz/5.13min",3.13990052345655,2.61770624084443,3.24292706333317,3.59601788464667,3.63927212673512,3.64230899608664,"2698"
